PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD
47,4711,4711,1976,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4711,4711,1976,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4711,4711,1976,"Rye, fall remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4711,4711,1976,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4711,4711,1976,Summerfallow,625000,252900,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4711,4711,1976,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4711,4711,1976,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4711,4711,1976,"Wheat, all",595000,240800,595000,240800,1,25.3,-99,1700,15024,-99,408900,25.25042017,-99,1698.089701,-0.001123705
47,4711,4711,1976,"Wheat, durum",37000,15000,37000,15000,1,25.5,-99,1700,942,-99,25600,25.45945946,-99,1706.666667,0.003921569
47,4711,4711,1976,"Wheat, spring",558000,225800,558000,225800,1,25.2,-99,1700,14082,-99,383200,25.23655914,-99,1697.077059,-0.001719377
47,4711,4711,1976,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,Barley,48600,19600,47000,19100,0.967078189,43.1,-99,2300,2027,-99,44100,43.12765957,-99,2308.900524,0.003869793
47,4720,4720,1976,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,Canola,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,Flaxseed,5900,2400,5900,2400,1,14.9,-99,900,88,-99,2200,14.91525424,-99,916.6666667,0.018518519
47,4720,4720,1976,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,Oats,45000,18200,38000,15400,0.844444444,53.2,-99,2000,2020,-99,31200,53.15789474,-99,2025.974026,0.012987013
47,4720,4720,1976,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,"Rye, fall remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,Summerfallow,716000,289800,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4720,4720,1976,"Wheat, all",824000,333500,824000,333500,1,28.4,-99,1900,23367,-99,635900,28.35800971,-99,1906.746627,0.003550856
