POLY_ID,Zone: 0B,Zone: 1A,Zone: 1B,Zone: 2A,Zone: 2B,Zone: 3A,Zone: 3B,Zone: 4A,Zone: 4B,Zone: 5A,Zone: 5B,Zone: 6A,Zone: 6B,Zone: 7A,Zone: 7B,Zone: 8A,Zone: 8B,Zone: 9A,Sum Total Ratio Estimates of PHZ in SLC v3.2 Polygon
944017,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.105849582172702000000000000000,0.398328690807799000000000000000,0.339832869080780000000000000000,0.155988857938719000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000
944018,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.002034587995930820000000000000,0.000000000000000000000000000000,0.024415055951169900000000000000,0.139369277721261000000000000000,0.229908443540183000000000000000,0.445574771108850000000000000000,0.158697863682604000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000
944019,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000512820512820513000000000000,0.026153846153846200000000000000,0.056923076923076900000000000000,0.203589743589744000000000000000,0.193333333333333000000000000000,0.273333333333333000000000000000,0.139487179487179000000000000000,0.066666666666666700000000000000,0.040000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000
944020,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.001540832049306630000000000000,0.078582434514637900000000000000,0.919876733436055000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000
944021,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.012168141592920400000000000000,0.206858407079646000000000000000,0.667035398230089000000000000000,0.113938053097345000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000
944022,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.013084112149532700000000000000,0.003738317757009350000000000000,0.151401869158879000000000000000,0.598130841121495000000000000000,0.233644859813084000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000
944023,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.002481389578163770000000000000,0.079404466501240700000000000000,0.188585607940447000000000000000,0.501240694789082000000000000000,0.228287841191067000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000
944024,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.005847953216374270000000000000,0.000000000000000000000000000000,0.385964912280702000000000000000,0.608187134502924000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000
944026,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.808000000000000000000000000000,0.192000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000
944027,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.003012048192771080000000000000,0.246987951807229000000000000000,0.750000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000
944028,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.113372093023256000000000000000,0.250000000000000000000000000000,0.183139534883721000000000000000,0.398255813953488000000000000000,0.055232558139534900000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000
944029,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.041884816753926700000000000000,0.120418848167539000000000000000,0.138743455497382000000000000000,0.321989528795811000000000000000,0.376963350785340000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000
