SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
SKBHO~~~~~N,SK,BHO,~~~~~,N,2,5,100,,C,k,,0,C,12,47,30,23,0.6,7.9,8,100,17,5.05,43,-9,30,17,1.5,1,39,-9,-9
SKBJA43~~~A,SK,BJA,43~~~,A,1,0,13,,A,p,,0,VF,10,40,27,33,2.7,6.8,7,100,25,2.83,51,-9,39,25,1.3,1,0,-9,-9
SKBJA43~~~A,SK,BJA,43~~~,A,2,13,48,,B,m,,0,VF,10,31,40,29,1,7,7.2,100,20,4.24,47,-9,30,17,1.4,1,0,-9,-9
SKBJA43~~~A,SK,BJA,43~~~,A,3,48,100,,C,k,,0,F,10,23,33,44,0.6,8,8,100,27,1.06,51,-9,43,25,1.3,2,10,-9,-9
SKBJA~~~~~A,SK,BJA,~~~~~,A,1,0,13,,A,p,,0,F,10,21,37,42,2.2,6.5,6.8,100,29,1.12,51,-9,43,27,1.3,1,0,-9,-9
SKBJA~~~~~A,SK,BJA,~~~~~,A,2,13,48,,B,m,,0,F,10,21,37,42,1,7,7.3,100,29,1.12,51,-9,43,27,1.3,1,0,-9,-9
SKBJA~~~~~A,SK,BJA,~~~~~,A,3,48,100,,C,k,,0,F,10,23,33,44,0.6,8,8,100,27,1.06,51,-9,43,25,1.3,2,10,-9,-9
SKBJBS43~~A,SK,BJB,S43~~,A,1,0,13,,A,p,,0,VF,10,40,27,33,2.7,6.8,7,100,25,2.83,51,-9,39,25,1.3,2,0,-9,-9
SKBJBS43~~A,SK,BJB,S43~~,A,2,13,48,,B,msagj,,0,VF,10,31,40,29,1,7,7.2,100,20,4.24,47,-9,30,17,1.4,6,0,-9,-9
SKBJBS43~~A,SK,BJB,S43~~,A,3,48,100,,C,ksagj,,0,F,10,23,33,44,0.6,8,8,100,27,1.06,51,-9,43,25,1.3,6,10,-9,-9
SKBJBS~~~~A,SK,BJB,S~~~~,A,1,0,13,,A,p,,0,F,10,21,37,42,2.2,6.5,6.8,100,29,1.12,51,-9,43,27,1.3,2,0,-9,-9
SKBJBS~~~~A,SK,BJB,S~~~~,A,2,13,48,,B,msagj,,0,F,10,21,39,40,1,7,7.3,100,29,1.12,51,-9,43,27,1.3,6,0,-9,-9
SKBJBS~~~~A,SK,BJB,S~~~~,A,3,48,100,,C,ksagj,,0,F,10,23,33,44,0.6,8,8,100,27,1.06,51,-9,43,25,1.3,6,10,-9,-9
SKBJC43~~~A,SK,BJC,43~~~,A,1,0,10,,A,p,,0,VF,10,40,27,33,2.7,6.8,7,100,25,2.83,51,-9,39,25,1.3,1,0,-9,-9
SKBJC43~~~A,SK,BJC,43~~~,A,2,10,30,,B,mk,,0,VF,10,31,40,29,1,7,7.2,100,20,4.24,47,-9,30,17,1.4,1,3,-9,-9
SKBJC43~~~A,SK,BJC,43~~~,A,3,30,100,,C,k,,0,F,10,23,33,44,0.6,8,8,100,27,1.06,51,-9,43,25,1.3,2,10,-9,-9
SKBJC~~~~~A,SK,BJC,~~~~~,A,1,0,10,,A,p,,0,F,10,21,37,42,2,6.9,7,100,29,1.12,51,-9,43,27,1.3,1,0,-9,-9
SKBJC~~~~~A,SK,BJC,~~~~~,A,2,10,30,,B,mk,,0,F,10,21,39,40,1,7.5,7.6,100,29,1.12,51,-9,43,27,1.3,1,3,-9,-9
SKBJC~~~~~A,SK,BJC,~~~~~,A,3,30,100,,C,k,,0,F,10,23,33,44,0.6,8,8,100,27,1.06,51,-9,43,25,1.3,2,10,-9,-9
