38,Corn earlage,,,,62.5,8.1,38.9,2.3,1.3,,3.5,1.9,60.2,21,1.7,84.3,3,2.1,1.4,48.6,4.4,18,18,5,85.8,55,75,56,0.15,0.17,0.22,0.87,0.13,0.09,,0.3,,0.23,0.03,0.3,0.05,0.12,0.12,0.11,0.47,0.02,0.1,0.19,3.75,0,85.2,11.2,0.1,21.6,0,,
39,Corn germ meal,,,,90.6,22.1,29.5,6.4,,,11.5,4.3,19.7,39.4,2.4,78.6,2.8,1.9,1.3,47.8,3.3,50,50,5,93,75,75,36,0.7,0.54,0.96,3.59,0.27,0.46,,1.43,,0.65,0.08,1.12,0.04,0.3,0.3,0.1,0.69,0.04,0.24,0.09,7.18,,129.7,16.4,1.1,106.3,29.8,,32
40,Corn gluten feed and distillers; Golden synergy,,,,50.4,24.6,16.3,12,,,8.7,4.4,11.5,29.3,4,89,3.2,2.2,1.5,66.6,1.4,17,17,7,66.4,75,75,4,1.02,0.45,0.68,2.23,0.51,0.29,,1.03,,0.77,0.4,1.29,0.09,0.34,0.34,0.14,1.17,0.21,0.62,0.18,5.35,0.1,560,17.8,0.4,62.5,1.2,,49.4
41,Corn gluten feed wet,,,,43.8,21.7,59.1,7,3.4,,4.3,6.4,15.2,38.5,1.6,86,3.1,2.1,1.4,34.1,3.2,50,50,5,89.2,75,75,36,1.51,0.47,0.19,1.53,0.33,0.36,,0.36,,0.37,0.14,1.15,0.05,0.41,0.41,0.19,1.32,0.16,0.52,0.1,5.41,0.1,152.4,17.4,0.3,62.4,1,,94
42,Corn gluten feed wet; Sweet Bran,,,,60.1,23.8,50.5,6.4,,,4.7,6.9,19.5,26.8,3,89,3.2,2.2,1.5,23,3.2,40,40,4,72.1,75,75,19,1.84,0.7,0.87,1.56,0.87,0.18,,1.08,,0.88,0.29,1.28,0.06,0.4,0.4,0.05,1.39,0.04,0.49,0.11,14,0.1,128,125,0.4,128,,,
43,"Corn gluten feed, dry",,,,89.8,22.6,51.7,8.9,2.7,,3.3,8.2,16.9,35,1.9,80,2.9,1.9,1.3,37.1,3.2,50,50,5,89.2,75,75,36,1.58,0.49,0.2,1.59,0.34,0.38,,0.38,,0.39,0.15,1.2,0.1,0.43,0.43,0.26,1.41,0.3,0.58,0.11,6.3,0.1,133.3,20.1,0.2,68.6,1,,94
44,Corn gluten meal,,,,90.4,68.2,14.7,15.1,0.2,,2.4,2.9,15.4,8.1,2.3,87.8,3.2,2.2,1.5,69.7,3.3,50,50,5,93,75,75,36,2.16,1.67,2.96,11.06,0.85,1.43,,4.42,,2,0.25,3.44,0.04,0.09,0.09,0.11,0.26,0.05,0.82,0.09,12.7,,74.2,5.7,,29.1,14,,26
45,Corn grain,,,,87.2,8.8,21.1,3.1,1.8,,3.8,1.4,72.1,9.7,1.2,87.6,3.2,2.2,1.5,65.3,3.9,15,15,5,84.4,75,75,30,0.16,0.18,0.24,0.94,0.15,0.1,,0.32,,0.25,0.03,0.33,0.03,0.11,0.11,0.15,0.37,0.03,0.11,0.51,2.63,0,50,7.6,0.6,20.5,1,,25
46,Corn grain high-moisture,,,,70.5,8.8,30,2.5,2.2,,3.9,1.5,71.3,9.9,1.2,90.4,3.3,2.2,1.6,55.3,5.6,30,30,6,73.9,85,75,,0.36,0.24,0.34,1.06,0.22,0.09,,0.44,,0.29,0.03,0.42,0.02,0.12,0.12,0.08,0.39,0.02,0.1,0.43,2.22,,49.5,6.3,,19.4,,,
47,Corn grain steam flaked,,,,80.7,8.5,8.2,4.1,,,3.2,1.3,76.2,9,1.3,95,3.4,2.4,1.7,70.4,3.9,25,25,6,85.8,95,75,48,0.15,0.17,0.23,0.91,0.14,0.09,,0.31,,0.24,0.03,0.32,0.02,0.09,0.09,0.08,0.33,0.01,0.1,0.43,2.69,,33.8,7.1,,19.8,,,
48,Corn greenchop,,,100,32.1,7.8,45,5.6,,,2.3,3.6,32.3,44.4,3.1,67.3,2.4,1.5,1,22,6,30,30,6,64.4,75,75,81,0.15,0.08,0.19,0.5,0.17,0.06,,0.23,,0.17,0.01,0.25,0.34,0.22,0.22,0.18,1.58,0.01,0.12,0.1,4.18,,131,23.5,,17.7,18,0.1,
49,Corn screenings,,,,86.2,8.8,3.1,7,2.8,,3.3,1.9,67.7,14.8,0.2,72.8,2.6,1.7,1.1,57,3.9,25,25,6,85.8,95,75,48,0.16,0.18,0.24,0.95,0.15,0.1,,0.32,,0.25,0.03,0.33,0.06,0.12,0.12,0.15,0.39,0.03,0.1,0.43,3.08,,30,13.9,,24.4,,,
50,Corn silage,,,50,33.1,8.2,55.8,3.7,4.3,,3.3,4.2,32.6,43,3.2,67.7,2.4,1.6,1,25.4,3.4,30,30,6,66.2,75,75,81,0.15,0.09,0.2,0.53,0.18,0.07,,0.24,,0.18,0.01,0.26,0.24,0.17,0.17,0.25,1.07,0.02,0.1,0.71,6.21,,187.1,32.8,0.2,26.4,58.1,,
51,Corn snaplage,,,,58.9,8.1,42.9,2.2,,,3.5,2,57,23.3,1.9,82,3,2,1.3,44.7,4.4,18,18,5,85.8,55,75,56,0.15,0.17,0.22,0.87,0.13,0.09,,0.29,,0.23,0.03,0.3,0.05,0.11,0.11,0.13,0.51,0.01,0.1,0.19,3.79,0,107.9,12,0.1,22.5,0,,
52,Corn stalklage,,,100,40.7,6.8,49.9,5.3,,,2,12.1,6,63.8,6.1,53.6,1.9,1.1,0.5,29,5.1,25,25,4,74.8,75,75,81,0.13,0.07,0.16,0.44,0.15,0.05,,0.2,,0.15,0.01,0.22,1.76,0.22,0.22,0.53,1.62,0.24,0.1,,7.81,,1021,63.9,,30,,,
53,Corn stalks,,,100,85.8,6.1,42.1,6.1,3.1,,1.4,11.1,10.8,70.8,6.3,52.7,1.9,1.1,0.5,36.3,2.4,30,30,5,69.2,75,75,100,0.11,0.06,0.15,0.39,0.13,0.05,,0.18,,0.13,0.01,0.19,0.55,0.2,0.2,0.42,1.25,0.07,0.09,0.11,6.47,,984.1,62.5,0.1,24.2,,,
54,Corn steep,,,,46.4,31.8,21.2,8.8,15,,4.5,11.3,11.4,3.5,0.6,98,3.5,2.5,1.7,59,3.3,50,50,5,93,75,75,36,1.01,0.78,1.38,5.15,0.39,0.66,,2.06,,0.93,0.12,1.6,0.1,0.9,0.9,0.4,3.19,0.59,1.19,0.13,10.19,,159,42.8,,121,14,,26
55,Cotton burrs,,,100,90.5,8.7,20,32.1,2.7,,2.5,15.3,6,60.9,16.6,45.2,1.6,0.8,0.3,50,10.8,25,25,6,58.2,75,75,100,1.02,0.21,0.38,0.58,0.44,0.17,,0.57,,0.36,0.03,0.48,1.4,0.31,0.31,0.51,2.26,0.04,0.32,0.45,5.66,,131,44.6,0,22.2,,,
56,Cotton gin trash,,,100,90.9,12.3,29,19.7,,,3.6,12.1,1.1,60.6,15.8,48.5,1.8,0.9,0.4,63.9,10.8,25,25,6,58.2,75,75,100,1.45,0.29,0.53,0.82,0.62,0.23,,0.81,,0.51,0.04,0.67,1.57,0.31,0.31,0.47,1.86,0.05,0.39,0.03,11.28,,818.8,73.1,0.5,28.3,,,
57,Cottonseed hulls,,,100,91.4,6.7,21.5,17,,,2.7,3.6,1.1,81.1,19.3,42,1.5,0.7,0.1,70.1,10.8,25,25,6,58.2,75,75,100,0.79,0.16,0.29,0.45,0.34,0.13,,0.44,,0.28,0.02,0.37,0.22,0.22,0.22,0.1,1.2,0.02,0.11,0.02,5.5,,101.4,20.7,0,17.7,,,
58,Cottonseed meal,,,,88.6,45,16.9,14.3,,,3.9,7.5,1.7,33.6,8.5,69.6,2.5,1.6,1,42.7,7.3,25,25,6,75,75,75,36,4.68,1.41,1.7,2.85,1.73,0.28,,2.63,,1.55,0.78,2.37,0.28,0.63,0.63,0.08,1.56,0.14,0.43,0.53,12.44,,149.9,22.3,1.3,63.9,,,
59,Cottonseed whole,,,,92.6,22.9,32.8,22.9,,,19.4,4.1,2.2,47.8,6,93,3.4,2.3,1.6,30.4,7.4,25,25,6,75.9,75,75,100,2.38,0.72,0.86,1.45,0.88,0.14,,1.34,,0.79,0.4,1.2,0.22,0.38,0.38,,1.12,0.08,0.39,,8.95,,160,21.7,,29.4,,,
60,"Distillers grain plus soluble, dry",,,,90,30.8,16.5,27.8,1.2,,10.7,5.3,5.9,33.7,5,89,3.2,2.2,1.5,67.9,1.4,17,17,7,56.5,75,75,4,1.28,0.56,0.86,2.79,0.63,0.37,,1.29,,0.96,0.51,1.61,0.05,0.32,0.32,0.27,1.05,0.18,0.66,0.72,6.69,0.1,103.4,22,1.1,63.3,1.2,,49.4
61,"Distillers grains plus soluble, modified",,,,47.8,29.1,6.7,2.1,,,10.2,6.6,3.4,28.7,4.2,93,3.4,2.3,1.6,72.8,1.4,17,17,7,56.5,75,75,4,1.21,0.53,0.81,2.64,0.6,0.35,,1.22,,0.91,0.48,1.52,0.08,0.38,0.38,0.16,1.27,0.39,0.67,0.18,7.03,0.1,560,19.3,0.4,72.9,1.2,,49.4
62,"Distillers grains plus solubles, wet",,,,31.4,30.6,15.6,26.4,0.9,,10.8,5.1,6.1,31.5,4.7,98,3.5,2.5,1.7,69.9,1.4,17,17,7,66.4,75,75,4,1.27,0.56,0.85,2.78,0.63,0.37,,1.29,,0.96,0.5,1.61,0.05,0.35,0.35,0.17,1,0.2,0.65,0.11,7.02,0.1,154.9,30.5,1,55.1,1.2,,49.4
63,Distillers solubles,,,,30.9,18.9,43.6,10.4,4,,16.8,9.1,10.7,4.7,1,98,3.5,2.5,1.7,54.9,0.6,17,17,7,59.7,75,75,4,0.79,0.34,0.53,1.72,0.39,0.23,,0.8,,0.59,0.31,0.99,0.11,0.69,0.69,0.37,2.34,0.42,0.82,0.18,7.41,0.1,560,35.8,6.3,101.6,1.2,,49.4
64,Feather meal,,,,92,91.1,10.3,113.6,17.7,,9.7,2.8,0.7,25.8,,79.1,2.9,1.9,1.3,70.8,1.7,,,,51.4,,75,23,6.76,0.86,4.19,7.57,2.34,0.45,,4.74,,3.8,0.73,7.24,0.76,0.08,0.08,0.27,0.24,0.21,1.69,0.13,12.2,0,283.2,56.6,1,171.1,,,
65,Fescue hay,,,100,88.9,9.2,25,8.7,,,2.1,8.4,3.3,65,3.1,58.3,2.1,1.3,0.7,29,3.7,30,30,3,73.3,75,75,98,0.3,0.11,0.3,0.58,0.3,0.07,,0.37,,0.3,0.48,0.41,0.48,0.22,0.17,1.45,1.73,0.1,0.16,,4.75,,,90.3,,21.3,34.6,,
66,Field Peas High CP,,,,88.2,25.2,20,8,,,1,7,43.9,13.1,5.8,75.8,2.7,1.8,1.2,43,7.3,25,25,6,75,75,75,36,2.62,0.79,0.95,1.59,0.97,0.16,,1.47,,0.87,0.44,1.33,0.14,0.15,0.15,,1.04,0.02,0.18,,5.9,,160,15.5,,32.3,,,
67,Field Peas Low CP,,,100,89.9,14.7,28,17,,,1.9,9.9,46.3,55.4,14.4,59,2.1,1.3,0.7,46,5.4,37,37,10,54.1,75,75,6,0.94,0.38,0.88,1.36,0.88,0.11,,0.93,,0.73,0.27,1.05,0.44,0.28,0.28,,0.95,0.08,0.21,0.19,10.5,0.1,309,31,0.3,21,33,,91
68,Fish meal,,,,92.3,66.2,25.2,13.2,,,11.9,20,5.8,13.6,,81.9,3,2,1.3,45,1,,,,98.4,,75,10,4.76,1.52,3,4.65,4.72,1.88,,2.87,,2.76,1.01,3.19,5.2,0.2,0.2,1.15,0.92,0.65,0.82,1.24,9,1.2,931.8,80,1.4,128.7,,,13
69,Flaxseed,,,,91.6,28.7,46.3,7.4,,,27.7,5.1,2,31.8,5.7,81.6,3,2,1.3,34.8,6.1,25,25,6,75.3,75,75,100,2.98,0.9,1.08,1.82,1.1,0.18,,1.68,,0.99,0.5,1.51,0.31,0.45,0.45,0.09,0.94,0.06,0.29,0.71,14.93,,109.6,32.9,,52.7,,,
70,Forage sorghum silage,,,100,28.9,9,49.6,6.3,1.4,,2.9,8.9,9.8,57.7,5.3,57.4,2.1,1.2,0.7,30.2,0.5,20,20,5,72.6,75,75,81,0.64,0.12,0.27,0.39,0.33,0.07,,0.25,,0.2,0.07,0.25,0.44,0.26,0.26,0.7,1.89,0.02,0.15,1.98,8.85,,422.9,53.4,0,34.1,,,
71,Forage sorghum sudan,,,100,31.8,12.8,44.4,5.4,,,3,10.4,2.1,59.8,4.2,57.1,2.1,1.2,0.6,29.3,2.6,20,20,5,56.1,75,75,41,0.36,0.13,0.36,0.7,0.36,0.09,,0.45,,0.36,0.57,0.49,0.47,0.3,0.3,0.93,2.51,0.03,0.25,0.27,13.29,,398,79,,38.9,175.4,,
72,Forage sorghum sudan hay,,,100,88.8,11,39.3,4.5,12.6,,2,8.8,2.9,62.7,4.8,56.8,2.1,1.2,0.6,35.2,3.1,20,20,3,66.7,75,75,98,0.31,0.11,0.31,0.61,0.31,0.07,,0.39,,0.31,0.5,0.42,0.41,0.29,0.29,0.98,2.21,0.05,0.16,0.13,8.88,,324.8,67,,34.9,,,
73,Forage sorghum sudan silage,,,100,31.3,12.3,50.5,6.5,5.8,,3.3,10.2,2.9,61.1,5.5,56.1,2,1.2,0.6,30.4,2.6,20,20,5,56.1,75,75,41,0.35,0.12,0.35,0.67,0.35,0.08,,0.43,,0.35,0.55,0.47,0.55,0.27,0.27,0.76,2.48,0.03,0.18,0.27,10.57,,747,61.3,0.2,37.1,175.4,,
74,"Forage sorghum, fresh",,,100,30.6,8.9,40.6,5.1,,,2.2,7.8,12,56,4,60.1,2.2,1.3,0.7,34.4,0.5,20,20,5,72.6,75,75,81,0.63,0.12,0.27,0.38,0.32,0.07,,0.25,,0.2,0.07,0.25,0.33,0.22,0.22,0.6,1.67,0.02,0.14,0.3,10.46,,431.5,61.2,0,35.5,,,
75,"Forage sorghum, hay",,,100,88.7,9,36.9,5,,,2.1,7.6,9.5,58.5,5,58.8,2.1,1.3,0.7,38,3.1,20,20,3,66.7,75,75,98,0.26,0.09,0.26,0.5,0.26,0.06,,0.32,,0.26,0.41,0.35,0.38,0.27,0.27,0.74,1.77,0.02,0.13,0.13,8.6,,258.7,57.3,0.1,30.5,,,
