PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD,
46,4603,4603,1985,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4603,4603,1985,Oats,59100,23900,46000,18600,0.778341794,64.1,-99,2400,2950,-99,45500,64,-99,2446.24,0.019265233,
46,4603,4603,1985,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4603,4603,1985,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4603,4603,1985,"Rye, fall remaining",11300,4600,11300,4600,1,34.3,-99,2200,387,-99,9800,34,-99,2130.43,-0.031620553,
46,4603,4603,1985,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4603,4603,1985,Soybeans,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4603,4603,1985,Summerfallow,201000,81400,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4603,4603,1985,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4603,4603,1985,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4603,4603,1985,"Wheat, all",555900,225000,555900,225000,1,38.7,-99,2600,21525,-99,585800,39,-99,2603.56,0.001367521,
46,4603,4603,1985,"Wheat, durum",29000,11700,29000,11700,1,39.9,-99,2700,1158,-99,31500,40,-99,2692.31,-0.002849003,
46,4603,4603,1985,"Wheat, spring",526900,213200,526900,213200,1,38.7,-99,2600,20367,-99,554300,39,-99,2599.91,-3.61E-05,
46,4603,4603,1985,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4604,4604,1985,Barley,86000,34800,86000,34800,1,56.1,-99,3000,4826,-99,105100,56,-99,3020.11,0.006704981,
46,4604,4604,1985,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4604,4604,1985,Canola,62800,25400,62800,25400,1,30.1,-99,1700,1893,-99,42900,30,-99,1688.98,-0.006484484,
46,4604,4604,1985,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4604,4604,1985,Flaxseed,10400,4200,10400,4200,1,21.3,-99,1300,221,-99,5600,21,-99,1333.33,0.025641026,
46,4604,4604,1985,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4604,4604,1985,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4604,4604,1985,Oats,34300,13800,29000,11700,0.84548105,65.4,-99,2500,1896,-99,29200,65,-99,2495.73,-0.001709402,
46,4604,4604,1985,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4604,4604,1985,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.00,-99,
46,4604,4604,1985,"Rye, fall remaining",7300,3000,7300,3000,1,38.7,-99,2400,282,-99,7200,39,-99,2400.00,0,
