Hardiness,Species,Mortality_pct,Age,TEC_MgCkmyr_min,TEC_MgCkmyr_max,TEC_MgCkmyr_wavg,TEC_MgCkm_min,TEC_MgCkm_max,TEC_MgCkm_wavg,Biom_MgCkmyr_min,Biom_MgCkmyr_max,Biom_MgCkmyr_wavg,Biom_MgCkm_min,Biom_MgCkm_max,Biom_MgCkm_wavg,DOM_MgCkmyr_min,DOM_MgCkmyr_max,DOM_MgCkmyr_wavg,DOM_MgCkm_min,DOM_MgCkm_max,DOM_MgCkm_wavg,Stems_min,Stems_max,Stems_wavg,km_per_ha_min,km_per_ha_max,km_per_ha_wavg,Stems_tosum1ha_min,Stems_tosum1ha_max,Stems_tosum1ha_wavg
2A,Caragana,0,18,0.773553252,0.902041852,0.828469781,60.45070648,110.9856873,66.67459962,0.802963138,0.854389787,0.820739289,5.025942802,5.399084568,5.149069565,-0.029409923,0.064070292,0.007730471,55.42476273,105.6251907,61.5255286,527,527,527,2.142355299,2.142355299,2.142355299,1071.17765,1071.17765,1071.17765
2A,Caragana,0,19,0.933211863,1.033876181,0.968946475,61.38391876,112.0195618,67.6435453,0.890783906,0.94608283,0.91011587,5.916727066,6.345167637,6.059185628,0.035371602,0.091024056,0.058830627,55.46718979,105.716217,61.58435983,527,527,527,2.075216829,2.075216829,2.075216829,1037.608415,1037.608415,1037.608415
2A,Caragana,0,20,1.010006547,1.236357093,1.100986488,62.39392471,113.1899414,68.74453333,0.980567575,1.039610147,1.001448172,6.897294521,7.384777546,7.06063364,0.029438991,0.214433327,0.099538336,55.49662781,105.8498688,61.68389735,527,527,527,2.013468835,2.013468835,2.013468835,1006.734418,1006.734418,1006.734418
2A,Caragana,0,21,1.160532475,1.321615934,1.224184394,63.5544548,114.4655228,69.96871493,1.071696281,1.134321451,1.094108331,7.968990803,8.519099236,8.154741931,0.088836223,0.205404878,0.130076076,55.58546448,105.9935532,61.81397395,527,527,527,1.956440001,1.956440001,1.956440001,978.2200003,978.2200003,978.2200003
2A,Caragana,0,22,1.249460578,1.480331302,1.346321522,64.80391693,115.9152374,71.31503689,1.163512111,1.229533315,1.187430139,9.132502556,9.748632431,9.34217185,0.085948385,0.269179046,0.158891357,55.67141342,106.2155991,61.97286456,527,527,527,1.903569596,1.903569596,1.903569596,951.784798,951.784798,951.784798
2A,Caragana,0,23,1.448915005,1.597464085,1.51058095,66.25283051,117.4891357,72.82561716,1.255325437,1.324532509,1.280714539,10.38782787,11.07316494,10.62288653,0.193589568,0.291425794,0.229866394,55.86500168,106.466156,62.20273079,527,527,527,1.854385205,1.854385205,1.854385205,927.1926026,927.1926026,927.1926026
2A,Caragana,0,24,1.554480791,1.737015605,1.630060033,67.8270874,119.2261505,74.45567938,1.346419811,1.418577194,1.37323641,11.73424816,12.49174213,11.99612301,0.135903597,0.318836868,0.256823599,56.09283447,106.784996,62.45955449,527,527,527,1.808485688,1.808485688,1.808485688,904.2428438,904.2428438,904.2428438
2A,Caragana,0,25,1.710291147,1.839099646,1.746677123,69.5373764,121.0342865,76.20235661,1.436056018,1.51141274,1.464247986,13.1703043,14.00265217,13.46037114,0.274235189,0.328189254,0.28242916,56.36706924,107.0817108,62.74198383,527,527,527,1.765527982,1.765527982,1.765527982,882.7639912,882.7639912,882.7639912
2A,Caragana,0,26,1.912533641,2.061661482,1.975049769,71.4499054,123.0698471,78.17740262,1.523481011,1.602274299,1.552988974,14.69378471,15.60341549,15.0133598,0.3890526,0.478743285,0.422060724,56.75612259,107.515007,63.16404451,527,527,527,1.725216773,1.725216773,1.725216773,862.6083863,862.6083863,862.6083863
2A,Caragana,0,27,1.9178406,2.249527454,2.021632321,73.36775208,125.3193817,80.19904007,1.607935548,1.689990282,1.638693815,16.30172157,17.29077721,16.65205421,0.309905082,0.559537232,0.382938544,57.06602859,108.0745392,63.54698303,527,527,527,1.687296306,1.687296306,1.687296306,843.6481528,843.6481528,843.6481528
