Hardiness,Species,Mortality_pct,Age,TEC_MgCkmyr_min,TEC_MgCkmyr_max,TEC_MgCkmyr_wavg,TEC_MgCkm_min,TEC_MgCkm_max,TEC_MgCkm_wavg,Biom_MgCkmyr_min,Biom_MgCkmyr_max,Biom_MgCkmyr_wavg,Biom_MgCkm_min,Biom_MgCkm_max,Biom_MgCkm_wavg,DOM_MgCkmyr_min,DOM_MgCkmyr_max,DOM_MgCkmyr_wavg,DOM_MgCkm_min,DOM_MgCkm_max,DOM_MgCkm_wavg,Stems_min,Stems_max,Stems_wavg,km_per_ha_min,km_per_ha_max,km_per_ha_wavg,Stems_tosum1ha_min,Stems_tosum1ha_max,Stems_tosum1ha_wavg
2A,White spruce,30,30,3.51770854,3.758918524,3.622383815,77.09581757,119.054924,82.34654933,2.970574379,3.224523067,3.092324399,27.8152504,30.5325985,27.98061823,0.52045244,0.547134101,0.530059505,49.28057098,90.94742584,54.36593276,446,446,446,2.424595093,2.424595093,2.424595093,1212.297546,1212.297546,1212.297546
2A,White spruce,30,31,2.639039755,3.666316032,3.524821579,80.61418152,122.5339279,85.8713703,2.168417454,3.038598061,2.932587648,30.75151253,32.70101547,30.91320613,0.470622361,0.627717972,0.592233901,49.8626709,91.53585815,54.95816558,446,446,446,2.346382348,2.346382348,2.346382348,1173.191174,1173.191174,1173.191174
2A,White spruce,30,32,2.721436501,2.876571178,2.74767859,83.33562469,125.4104996,88.61905225,2.118580341,2.303864002,2.15924587,32.8700943,35.004879,33.07245319,0.511058688,0.61186558,0.588432824,50.4655304,92.14772797,55.5465999,446,446,446,2.273057899,2.273057899,2.273057899,1136.52895,1136.52895,1136.52895
2A,White spruce,30,33,2.692173958,2.893321514,2.792307168,86.15834808,128.3038177,91.41136002,2.294373512,2.404107571,2.364270671,35.27420044,37.34200668,35.43672272,0.397800475,0.528517187,0.428036596,50.88414383,92.67623901,55.97463433,446,446,446,2.204177357,2.204177357,2.204177357,1102.088678,1102.088678,1102.088678
2A,White spruce,30,34,2.764086246,3.070710897,2.990239223,89.15252686,131.0679169,94.40159795,2.317135811,2.577217102,2.498126088,37.76887131,39.91922379,37.93484791,0.379232943,0.509553671,0.492113106,51.38365555,93.12319183,56.46674934,446,446,446,2.139348611,2.139348611,2.139348611,1069.674306,1069.674306,1069.674306
2A,White spruce,30,35,3.018690109,3.349982023,3.041100035,92.18528748,134.1047058,97.44269803,2.45498991,2.69031167,2.599793923,40.39970779,42.60953522,40.53464305,0.369530261,0.659670293,0.441306145,51.75318527,93.70500183,56.90805554,446,446,446,2.078224365,2.078224365,2.078224365,1039.112183,1039.112183,1039.112183
2A,White spruce,30,36,2.90861249,3.22258544,3.036508187,95.09390259,137.2531586,100.4792069,2.556437016,2.768156052,2.626489156,42.98562241,45.25125885,43.16113226,0.352175564,0.562528849,0.41001908,52.10536194,94.26753235,57.31807546,446,446,446,2.020495911,2.020495911,2.020495911,1010.247955,1010.247955,1010.247955
2A,White spruce,30,37,2.948201656,3.32435441,3.073667947,98.042099,140.4677582,103.552872,2.695761681,3.00104022,2.770838169,45.68429947,48.25230026,45.93196908,0.252440035,0.391802222,0.302829783,52.35779953,94.57294464,57.62090267,446,446,446,1.965887913,1.965887913,1.965887913,982.9439565,982.9439565,982.9439565
2A,White spruce,30,38,3.212829351,3.300481081,3.244368315,101.2549286,143.6987762,106.7972413,2.842512608,2.974817038,2.878637319,48.52681351,51.14904785,48.81060732,0.25620234,0.4004803,0.365730961,52.72811508,94.82914734,57.98663382,446,446,446,1.91415402,1.91415402,1.91415402,957.0770102,957.0770102,957.0770102
2A,White spruce,30,39,3.301788807,3.490392447,3.440230392,104.6994247,147.0005646,110.2374735,2.891569614,3.115440845,2.999500094,51.5515976,54.26448822,51.81010791,0.374951512,0.498958796,0.440730388,53.14782715,95.23936462,58.42736563,446,446,446,1.865073148,1.865073148,1.865073148,932.5365741,932.5365741,932.5365741
2A,White spruce,30,40,3.495949745,3.736056328,3.592388321,108.3095856,150.736618,113.8298612,3.113254309,3.241391659,3.191269373,54.79298782,57.49789429,55.00137626,0.262543976,0.62280196,0.401118941,53.51659775,95.86216736,58.82848397,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,41,3.571290493,4.033094883,3.661101926,111.8808746,154.4897766,117.4909617,3.106654406,3.564032793,3.185115681,57.89964294,61.0619278,58.18649242,0.464636028,0.498339146,0.475986216,53.98123169,96.33644867,59.30446943,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,42,2.220963001,2.401957989,2.375876568,114.2828293,156.7107391,119.8668372,1.845013618,2.041005373,1.927228991,59.74465561,63.04622269,60.1137211,0.179957673,0.55694443,0.448647632,54.53817749,96.51641083,59.75311858,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,43,2.43925333,2.599432468,2.505029888,116.7511826,159.1499939,122.371869,2.028487682,2.248309851,2.043369553,61.77864456,65.29453278,62.15708991,0.234832287,0.570944846,0.461660261,54.97253799,96.89596558,60.21477805,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,44,2.243580341,2.732039452,2.42022023,119.0039215,161.6195984,124.7920883,2.008934736,2.185120106,2.095595313,63.84541702,67.3034668,64.25268667,0.185968593,0.546919346,0.324624873,55.15850449,97.33929443,60.53940248,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,45,2.320759296,2.518481731,2.481275639,121.5224075,163.9403534,127.2733643,1.925071955,2.162178516,2.043870683,65.85166168,69.30500031,66.29655951,0.305386633,0.515806079,0.437405095,55.67074585,97.73497772,60.97680664,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,46,2.318417788,2.785097122,2.448765687,123.913002,166.2587738,129.7221299,1.871699691,2.14386797,2.005351023,67.8366394,71.4488678,68.30190883,0.405614316,0.641229331,0.443414677,56.07636261,98.18169403,61.42022251,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,47,2.148361444,2.582596302,2.381114708,126.2769089,168.407135,132.1032444,1.797307611,2.260552406,2.040725318,69.87166595,73.70941925,70.34263176,0.322043985,0.359925807,0.340389447,56.40524292,98.53275299,61.7606132,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,48,2.44826889,2.810518265,2.488313619,128.7708588,170.8647461,134.5915559,1.970836639,2.333123922,2.030214505,71.84250641,76.0425415,72.37284858,0.359246016,0.523120224,0.45809909,56.9283638,98.89199829,62.21871219,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,49,2.274910212,2.627556562,2.416607888,131.0457764,173.4922943,137.0081638,1.983241439,2.257418633,2.093249202,73.82574463,78.15763855,74.46609501,0.279840052,0.439238399,0.323358589,57.22003174,99.33123779,62.54207083,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,50,2.451049328,2.612272501,2.560889408,133.6580505,175.9433441,139.5690568,1.901359558,2.135120153,1.954579951,75.72710419,80.29276276,76.42067545,0.346785486,0.710912943,0.606309492,57.93094254,99.76065826,63.14837836,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,51,2.40941143,2.778828621,2.545081215,136.0674591,178.5421143,142.1141365,2.129559517,2.191526175,2.1534518,77.85666656,82.47194672,78.57412969,0.279851824,0.587302327,0.39162932,58.21079636,100.1991196,63.54000937,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,52,2.414275408,2.571271658,2.499160977,138.5944061,181.1133728,144.6132938,2.096212864,2.256644011,2.190578534,80.11331177,84.63642883,80.76470936,0.270306975,0.444768965,0.308582377,58.48110199,100.6438904,63.84859091,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,53,2.424383402,2.707000494,2.544232359,141.0187988,183.7932129,147.1575315,2.05957222,2.266840696,2.115585297,82.17288208,86.90326691,82.88029253,0.33476764,0.547793567,0.428647089,58.84591293,101.0997238,64.27723802,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,54,2.371673107,2.575275898,2.509273337,143.5561676,186.1648865,149.6668007,2.080172062,2.162118435,2.094124546,84.25305176,89.06538391,84.97441655,0.282371908,0.457206339,0.415148679,59.30311966,101.3820953,64.69238607,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,55,2.308750153,2.653764248,2.426728666,145.8649292,188.8186493,152.0935344,2.021499157,2.20222187,2.113679331,86.32194519,91.08688354,87.08809717,0.239861578,0.525331855,0.31304943,59.54298019,101.9074249,65.00543525,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,56,2.153087616,2.779835939,2.407627459,148.2857971,190.9717407,154.5011539,2.063148737,2.166375637,2.076802739,88.38509369,93.25325775,89.16489984,0.025383424,0.613460302,0.330824741,59.90071487,101.9328079,65.33626124,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,57,2.286091328,2.542219162,2.480378626,150.7791595,193.2578278,156.9815335,2.008354902,2.20851779,2.124397496,90.48230743,95.26161194,91.28929559,0.214395761,0.396143526,0.355981146,60.29685593,102.1472092,65.69224181,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,58,2.342588425,2.813119173,2.665016218,153.4776764,196.0709534,159.646554,2.039522886,2.343974352,2.126762477,92.60028076,97.60559082,93.41606153,-0.001385832,0.580546021,0.538253765,60.87740326,102.628212,66.23049555,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,59,2.222678185,2.595947266,2.348670113,155.8375854,198.6669006,161.9952248,2.00206399,2.160339832,2.060515256,94.6023407,99.69506073,95.47657421,0.062338542,0.525053322,0.288154975,61.23524475,103.1532669,66.51865187,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,30,60,2.387588739,2.500094414,2.44094655,158.2771454,201.0544891,164.4361757,2.099462748,2.178356647,2.109950021,96.70180511,101.8368988,97.58652319,0.209232181,0.358258784,0.330996574,61.57533646,103.3624954,66.8496471,446,446,446,1.818446319,1.818446319,1.818446319,909.2231597,909.2231597,909.2231597
2A,White spruce,50,1,,,,48.93273926,89.35637665,53.40675057,,,,0,0,0,,,,48.93273926,89.35637665,53.40675057,318,318,318,1036.995864,1036.995864,1036.995864,518497.9322,518497.9322,518497.9322
2A,White spruce,50,2,-0.124957278,-0.080737308,-0.107547,48.80778122,89.26483154,53.29920309,0,0,0,0,0,0,-0.124957278,-0.080737308,-0.107547,48.80778122,89.26483154,53.29920309,318,318,318,259.2489661,259.2489661,259.2489661,129624.4831,129624.4831,129624.4831
2A,White spruce,50,3,-0.124545291,-0.080473326,-0.107192763,48.68323517,89.17359161,53.19201082,0,0,0,0,0,0,-0.124545291,-0.080473326,-0.107192763,48.68323517,89.17359161,53.19201082,318,318,318,115.2217627,115.2217627,115.2217627,57610.88136,57610.88136,57610.88136
2A,White spruce,50,4,-0.124136351,-0.080207825,-0.106839969,48.5591011,89.08264923,53.08517177,0,0,0,0,0,0,-0.124136351,-0.080207825,-0.106839969,48.5591011,89.08264923,53.08517177,318,318,318,64.81224153,64.81224153,64.81224153,32406.12076,32406.12076,32406.12076
2A,White spruce,50,5,-0.123724364,-0.079943851,-0.106486748,48.43537521,88.99200439,52.9786837,0,0,0,0,0,0,-0.123724364,-0.079943851,-0.106486748,48.43537521,88.99200439,52.9786837,318,318,318,41.47983458,41.47983458,41.47983458,20739.91729,20739.91729,20739.91729
2A,White spruce,50,6,-0.123318478,-0.079676822,-0.10613553,48.3120575,88.90166473,52.87254859,0,0,0,0,0,0,-0.123318478,-0.079676822,-0.10613553,48.3120575,88.90166473,52.87254859,318,318,318,28.80544068,28.80544068,28.80544068,14402.72034,14402.72034,14402.72034
2A,White spruce,50,7,-0.122909546,-0.079415895,-0.105784568,48.18914795,88.81162262,52.76676445,0,0,0,0,0,0,-0.122909546,-0.079415895,-0.105784568,48.18914795,88.81162262,52.76676445,318,318,318,21.16318091,21.16318091,21.16318091,10581.59045,10581.59045,10581.59045
2A,White spruce,50,8,-0.122506715,-0.079153441,-0.105437302,48.06664276,88.72187805,52.66132804,0,0,0,0,0,0,-0.122506715,-0.079153441,-0.105437302,48.06664276,88.72187805,52.66132804,318,318,318,16.20306038,16.20306038,16.20306038,8101.530191,8101.530191,8101.530191
2A,White spruce,50,9,-0.12210083,-0.078892514,-0.105088254,47.94454193,88.6324234,52.5562395,0,0,0,0,0,0,-0.12210083,-0.078892514,-0.105088254,47.94454193,88.6324234,52.5562395,318,318,318,12.80241808,12.80241808,12.80241808,6401.20904,6401.20904,6401.20904
2A,White spruce,50,10,-0.111235105,-0.068174586,-0.093922667,47.83330536,88.55373383,52.46231597,0.010153886,0.019260447,0.010501681,0.010153886,0.019260447,0.010501681,-0.121388994,-0.078328475,-0.104424352,47.82315063,88.5435791,52.45181348,318,318,318,10.36995864,10.36995864,10.36995864,5184.979322,5184.979322,5184.979322
2A,White spruce,50,11,-0.102321848,-0.050643906,-0.081503543,47.73098373,88.49259949,52.38081241,0.017855644,0.026380381,0.021654359,0.02800953,0.044895977,0.032156039,-0.120177492,-0.077024288,-0.103157902,47.70297241,88.45606232,52.34865536,318,318,318,9.257544899,9.257544899,9.257544899,4628.77245,4628.77245,4628.77245
2A,White spruce,50,12,-0.068754449,-0.034362007,-0.055370186,47.66222763,88.44786072,52.32544048,0.040730137,0.049254872,0.045709244,0.077264406,0.092997678,0.077865287,-0.118009321,-0.075092144,-0.101079431,47.58496475,88.37059784,52.24757663,318,318,318,8.486082824,8.486082824,8.486082824,4243.041412,4243.041412,4243.041412
2A,White spruce,50,13,-0.037499882,0.020132231,-0.013919943,47.62472916,88.45032501,52.31152247,0.076799482,0.112835146,0.083480265,0.15406388,0.205832824,0.161345548,-0.114299364,-0.071587577,-0.097400206,47.47066498,88.28878784,52.15017709,318,318,318,7.833307222,7.833307222,7.833307222,3916.653611,3916.653611,3916.653611
2A,White spruce,50,14,0.044191804,0.112499878,0.064602856,47.66892242,88.54081726,52.37612636,0.151554316,0.205361634,0.155651789,0.306414723,0.411194474,0.316997333,-0.108159035,-0.0651149,-0.091048931,47.36250687,88.21323395,52.05912749,318,318,318,7.273785278,7.273785278,7.273785278,3636.892639,3636.892639,3636.892639
2A,White spruce,50,15,0.156287551,0.214654699,0.169133824,47.82520676,88.71605682,52.54525788,0.240209609,0.296456784,0.250409638,0.561064065,0.707651258,0.567406967,-0.098361798,-0.055845629,-0.081275817,47.2641449,88.14826202,51.9778524,318,318,318,6.788866259,6.788866259,6.788866259,3394.43313,3394.43313,3394.43313
2A,White spruce,50,16,0.274116635,0.354308963,0.300548067,48.09932327,89.0398941,52.84580552,0.355501324,0.420279503,0.365900929,0.916565418,1.12793076,0.933307913,-0.081384696,-0.041219246,-0.06535286,47.18275833,88.09751129,51.9124979,318,318,318,6.364562118,6.364562118,6.364562118,3182.281059,3182.281059,3182.281059
2A,White spruce,50,17,0.391978294,0.484047234,0.428301534,48.49130249,89.51618195,53.27410772,0.45702365,0.530830979,0.476304353,1.373589039,1.65876174,1.40961224,-0.065045357,-0.023594853,-0.048002818,47.11771393,88.06776428,51.86449594,318,318,318,5.990176111,5.990176111,5.990176111,2995.088056,2995.088056,2995.088056
2A,White spruce,50,18,0.549714983,0.709680557,0.57635862,49.04101944,90.14524078,53.85046815,0.588999569,0.726639509,0.600435456,1.964196563,2.385401249,2.010047682,-0.040892579,-0.000118235,-0.024076832,47.07682037,88.05999756,51.84041863,318,318,318,5.657388549,5.657388549,5.657388549,2828.694275,2828.694275,2828.694275
2A,White spruce,50,19,0.68671751,0.800438166,0.716515167,49.72773743,90.87519836,54.56698265,0.694602907,0.790195405,0.711890257,2.65879941,3.175596714,2.721937926,-0.007885385,0.020996448,0.004624913,47.06893539,88.08058167,51.84504345,318,318,318,5.359631257,5.359631257,5.359631257,2679.815629,2679.815629,2679.815629
2A,White spruce,50,20,0.864242136,0.959872961,0.9041454,50.59197617,91.82816315,55.47112628,0.853565812,0.91132468,0.869195768,3.512365341,4.086921215,3.591133704,0.010676345,0.072032884,0.034949648,47.07961273,88.13114929,51.87999363,318,318,318,5.091649695,5.091649695,5.091649695,2545.824847,2545.824847,2545.824847
2A,White spruce,50,21,0.98534447,1.149351716,1.017998351,51.57732391,92.87631989,56.48912622,0.938728809,1.085379243,0.954415177,4.451094151,5.172300816,4.545548999,0.04661563,0.091080375,0.063583145,47.12622833,88.20452881,51.943577,318,318,318,4.849190185,4.849190185,4.849190185,2424.595093,2424.595093,2424.595093
2A,White spruce,50,22,1.143096089,1.276305079,1.192799299,52.72041702,94.09911346,57.68192533,1.078634977,1.17141068,1.101367444,5.529728889,6.343711376,5.64691621,0.064461149,0.130670071,0.09143188,47.19068909,88.31921387,52.03500933,318,318,318,4.62877245,4.62877245,4.62877245,2314.386225,2314.386225,2314.386225
2A,White spruce,50,23,1.30601418,1.466761351,1.337821718,54.02643204,95.49586487,59.0197462,1.187542319,1.327307582,1.204311884,6.717271328,7.6710186,6.851228146,0.118471771,0.157194033,0.133509759,47.30916214,88.4613266,52.16851884,318,318,318,4.427521473,4.427521473,4.427521473,2213.760737,2213.760737,2213.760737
2A,White spruce,50,24,1.42858839,1.610719442,1.469102551,55.47994232,97.10659027,60.48885083,1.25393796,1.479564786,1.309834013,8.022715569,9.150583267,8.161062331,0.122473575,0.186048046,0.159268539,47.4572258,88.64737701,52.32778812,318,318,318,4.243041412,4.243041412,4.243041412,2121.520706,2121.520706,2121.520706
2A,White spruce,50,25,1.54534018,1.798163652,1.669003831,57.19809341,98.65192413,62.1578521,1.357203603,1.57599318,1.484324119,9.555868149,10.72657681,9.645386445,0.178041875,0.222170427,0.184679733,47.64222717,88.83551025,52.51246663,318,318,318,4.073319756,4.073319756,4.073319756,2036.659878,2036.659878,2036.659878
2A,White spruce,50,26,1.830716968,1.982987881,1.85088972,59.02881241,100.5103455,64.00874402,1.576071382,1.702912688,1.587991269,11.13193893,12.42948914,11.23337741,0.254645646,0.280075222,0.262898485,47.89687347,89.09485626,52.77536604,318,318,318,3.916653611,3.916653611,3.916653611,1958.326806,1958.326806,1958.326806
2A,White spruce,50,27,1.896242142,2.0835042,1.963846753,60.98700333,102.4065857,65.9725899,1.565125108,1.812571526,1.707799134,12.86119747,14.24206066,12.94117685,0.228934065,0.331117034,0.256047532,48.1258049,89.42597198,53.0314123,318,318,318,3.771592366,3.771592366,3.771592366,1885.796183,1885.796183,1885.796183
2A,White spruce,50,28,2.099853277,2.29956007,2.12302755,63.087677,104.5064392,68.09561762,1.827070117,1.982245445,1.862224708,14.71011734,16.22430611,14.80340173,0.251752466,0.317314535,0.26080283,48.37755966,89.69875336,53.29221632,318,318,318,3.636892639,3.636892639,3.636892639,1818.446319,1818.446319,1818.446319
2A,White spruce,50,29,2.262583017,2.537250757,2.314037783,65.35025787,106.896698,70.40965411,1.895959854,2.199457169,1.956494965,16.60607719,18.42376328,16.7598966,0.337793767,0.366623193,0.357542863,48.74418259,90.05175018,53.64975913,318,318,318,3.511482548,3.511482548,3.511482548,1755.741274,1755.741274,1755.741274
2A,White spruce,50,30,2.425870895,2.636677265,2.5026689,67.88516235,109.4008484,72.9123235,2.022489786,2.237833023,2.111067506,18.7562809,20.6615963,18.87096348,0.384701192,0.40338105,0.391601479,49.12888336,90.44327545,54.04136093,318,318,318,3.39443313,3.39443313,3.39443313,1697.216565,1697.216565,1697.216565
2A,White spruce,50,31,2.557155371,2.740692616,2.623871513,70.44232178,112.0230408,75.53619656,2.119979382,2.292196751,2.17770731,20.87626076,22.95379257,21.04867135,0.381262064,0.471669465,0.446164163,49.56605911,90.88743591,54.48752479,318,318,318,3.284935287,3.284935287,3.284935287,1642.467643,1642.467643,1642.467643
2A,White spruce,50,32,2.725692749,2.922459602,2.765355221,73.16801453,114.9276123,78.30155134,2.240872145,2.460007906,2.287829414,23.11713219,25.41380119,23.33650023,0.45855847,0.49783349,0.477525831,50.05088043,91.38526917,54.96505062,318,318,318,3.182281059,3.182281059,3.182281059,1591.14053,1591.14053,1591.14053
2A,White spruce,50,33,2.83461237,3.021594763,2.937322511,76.13942719,117.9445953,81.23887258,2.451405525,2.571477175,2.528490148,25.68861008,27.92730904,25.86499097,0.383206636,0.508086503,0.40883227,50.45081711,91.87361145,55.37388278,318,318,318,3.0858483,3.0858483,3.0858483,1542.92415,1542.92415,1542.92415
2A,White spruce,50,34,2.964144707,3.27354598,3.19251297,79.33803558,120.9087372,84.4313855,2.493881941,2.758179665,2.686736206,28.37518311,30.61395645,28.55172757,0.442987293,0.515366197,0.505776746,50.96285629,92.3438797,55.87965974,318,318,318,2.995088056,2.995088056,2.995088056,1497.544028,1497.544028,1497.544028
2A,White spruce,50,35,2.565921783,3.034364939,2.985435483,82.37240601,123.8990936,87.41682325,1.883892775,2.588592529,2.48540537,30.94505882,32.49784851,31.03713278,0.44577229,0.68202889,0.500030068,51.40863037,92.9540329,56.37969026,318,318,318,2.909514111,2.909514111,2.909514111,1454.757056,1454.757056,1454.757056
2A,White spruce,50,36,2.22303462,2.439988613,2.312733121,84.5954361,126.3054352,89.72955399,1.78952384,1.936192274,1.837625892,32.75329971,34.34022903,32.87475876,0.43351078,0.598098338,0.475107256,51.8421402,93.55213165,56.85479677,318,318,318,2.828694275,2.828694275,2.828694275,1414.347137,1414.347137,1414.347137
2A,White spruce,50,37,2.208974123,2.459443569,2.298053798,86.80441284,128.6983337,92.0276087,1.878630161,2.091063738,1.931535346,34.63192749,36.43129349,34.80629287,0.330343962,0.43305254,0.366518501,52.17248535,93.91772461,57.22131583,318,318,318,2.752243078,2.752243078,2.752243078,1376.121539,1376.121539,1376.121539
2A,White spruce,50,38,2.379230261,2.440918922,2.408136002,89.19870758,131.0775604,94.43574443,1.979478478,2.070655346,2.003197614,36.61140823,38.44160461,36.80949199,0.308574766,0.423737466,0.404938338,52.58729935,94.2263031,57.62625343,318,318,318,2.679815629,2.679815629,2.679815629,1339.907814,1339.907814,1339.907814
2A,White spruce,50,39,2.435367823,2.567648172,2.538855567,91.74165344,133.5129395,96.97460255,2.005955696,2.161195278,2.080691006,38.70888138,40.60279846,38.89018069,0.392339617,0.500461876,0.458164674,53.03276825,94.65571594,58.0844182,318,318,318,2.611102407,2.611102407,2.611102407,1305.551204,1305.551204,1305.551204
2A,White spruce,50,40,2.52575326,2.76279211,2.627783499,94.38284302,136.2757263,99.60238486,2.15708828,2.24961853,2.213421562,40.95849991,42.84283447,41.10360236,0.285717398,0.605703771,0.414361945,53.42433929,95.2614212,58.49878067,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,41,2.617298126,2.925068617,2.677562205,97.00013733,139.0150757,102.2799451,2.149453163,2.463314056,2.204887995,43.10795593,45.30614853,43.30849249,0.461754441,0.484605104,0.472674128,53.89218521,95.72955322,58.97145442,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,42,1.617701411,1.824041486,1.779543142,98.8241806,140.632782,104.0594894,1.281042099,1.416289091,1.337444188,44.38899612,46.68361282,44.64593536,0.201412231,0.542999327,0.442098887,54.43518448,95.93096924,59.41355431,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,43,1.800534964,1.947316647,1.86643015,100.6639328,142.4354706,105.9259202,1.408466101,1.55724299,1.417665445,45.79966354,48.24085617,46.06360105,0.243292019,0.538850427,0.448764648,54.86426544,96.30438232,59.8623173,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,44,1.632648468,2.027035713,1.77484869,102.3000183,144.26651,107.7007678,1.39311254,1.513599753,1.452369178,47.23226547,49.63396835,47.51597104,0.203488901,0.513435841,0.32247945,55.06775665,96.73018646,60.18479771,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,45,1.715728641,1.886136293,1.83856842,104.1861572,145.9822388,109.5393358,1.336161971,1.497834206,1.418822153,48.62683868,51.02138519,48.93479222,0.293943197,0.491561532,0.419746278,55.55931854,97.10975647,60.60454415,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,46,1.716032028,2.081542015,1.811590671,105.9534607,147.6982727,111.350927,1.293793082,1.483779192,1.389370462,50.00127029,52.5051651,50.32416402,0.392874718,0.597762823,0.422220212,55.9521904,97.53199005,61.02676252,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,47,1.580283284,1.873175979,1.739932092,107.6834564,149.2785492,113.0908601,1.246459246,1.565175295,1.412822188,51.40990829,54.0703392,51.7369861,0.308000743,0.337633699,0.327109937,56.27354813,97.86581421,61.35387441,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,48,1.784106731,2.060762644,1.837415608,109.5433273,151.0716248,114.9282744,1.366455674,1.61503005,1.406802731,52.77636337,55.68536758,53.14378872,0.339096844,0.493416727,0.430612916,56.76696396,98.20491791,61.78448722,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,49,1.65575695,1.92480278,1.756619874,111.1990814,152.9964294,116.6848942,1.372775435,1.563607454,1.449345639,54.1491394,57.14885712,54.5931347,0.265675396,0.408898532,0.307274228,57.04994583,98.61381531,62.09176198,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,50,1.795963407,1.972797513,1.911737551,113.1718826,154.7923889,118.5966331,1.314722776,1.478006124,1.351871966,55.46385956,58.62686539,55.94500477,0.324584723,0.658074737,0.559865593,57.70801926,99.01172638,62.65162678,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,51,1.740209103,2.050516844,1.853650966,114.9120865,156.6902924,120.4502805,1.472642899,1.516283989,1.489379623,56.93650436,60.13328934,57.43438593,0.267566204,0.534232795,0.364271318,57.97558594,99.4157486,63.01589756,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,52,1.739518046,1.879729509,1.805459661,116.734726,158.5700226,122.2557434,1.449958086,1.565062165,1.51769277,58.50156784,61.63207626,58.95207943,0.257570833,0.4077124,0.287766877,58.23315811,99.82345581,63.30366528,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,53,1.764816284,1.987549543,1.856998311,118.4995422,160.5250244,124.112742,1.423566222,1.568573713,1.462585772,59.92513275,63.20064926,60.41466363,0.308721393,0.495096743,0.394412576,58.57440567,100.239151,63.69807742,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
2A,White spruce,50,54,1.703470469,1.872557163,1.829192151,120.360733,162.2285004,125.9419318,1.438562989,1.494927049,1.448817654,61.36369705,64.69557953,61.86348214,0.257704824,0.422633082,0.380374534,58.99703979,100.4968491,64.07845174,318,318,318,2.545824847,2.545824847,2.545824847,1272.912424,1272.912424,1272.912424
