Ecodistrict,Ecozone,Province,PMayToOct,PEMayToOct,Ftopo,SoilType,SoilTexture
992,Montane Cordillera,British Columbia,274,641,16.07,Brown Chernozem,Medium
995,Montane Cordillera,Alberta,321,554,7.02,Brown Chernozem,Medium
995,Montane Cordillera,British Columbia,321,554,7.02,Brown Chernozem,Medium
1001,Montane Cordillera,British Columbia,159,680,5.63,Brown Chernozem,Coarse
1002,Montane Cordillera,British Columbia,321,554,5.63,Brown Chernozem,Coarse
1003,Montane Cordillera,British Columbia,544,539,0,Brown Chernozem,Coarse
1004,Montane Cordillera,British Columbia,159,678,7.57,Black/Gray Chernozem,Medium
1005,Montane Cordillera,British Columbia,159,679,11.2,Brown Chernozem,Medium
1006,Montane Cordillera,British Columbia,180,664,7.33,Black/Gray Chernozem,Coarse
1007,Montane Cordillera,British Columbia,191,644,6.73,Brown Chernozem,Coarse
1008,Montane Cordillera,British Columbia,191,647,3.03,Black/Gray Chernozem,Coarse
1009,Montane Cordillera,British Columbia,222,683,5.82,Brown Chernozem,Medium
1010,Montane Cordillera,British Columbia,197,669,3.98,Brown Chernozem,Coarse
1011,Montane Cordillera,British Columbia,205,602,48.96,Brown Chernozem,Coarse
1012,Montane Cordillera,British Columbia,321,554,1.37,Brown Chernozem,Medium
1013,Montane Cordillera,British Columbia,321,554,0,Black/Gray Chernozem,Fine
1015,Montane Cordillera,British Columbia,321,554,7.02,Brown Chernozem,Coarse
1016,Montane Cordillera,Alberta,333,545,16.02,Black/Gray Chernozem,Medium
1017,Montane Cordillera,Alberta,329,588,0,Black/Gray Chernozem,Medium
1017,Montane Cordillera,British Columbia,321,554,0,Black/Gray Chernozem,Medium
1018,Montane Cordillera,Alberta,326,574,12.62,Black/Gray Chernozem,Medium
1019,Montane Cordillera,Alberta,335,581,12.62,Black/Gray Chernozem,Medium
1019,Montane Cordillera,British Columbia,335,581,12.62,Black/Gray Chernozem,Medium
