AREA,PERIMETER,POLY_ID,ECO_ID
1.376666356,6.159229849,14003,14
1.58033969,9.61154108,14002,14
0.93250249,5.332157388,14004,14
2.408006879,13.9027207,14005,14
3.511283096,27.0561629,14001,14
0.840566309,7.174565103,14006,14
1.729422547,9.822043928,14007,14
3.484609685,16.36946244,17001,17
1.231991335,14.40333775,14009,14
1.664047889,8.959433492,14011,14
0.684304749,7.523122702,14008,14
0.955917764,14.80560676,17002,17
0.032024911,1.033832089,14012,14
1.37990242,18.14177082,1005,1
1.338231855,8.813159309,14013,14
5.048053404,78.57350838,1001,1
0.262471415,6.334933491,14010,14
0.29039571,5.305911162,1003,1
0.786420794,16.00893379,1008,1
0.165830534,4.18667037,14014,14
0.268070011,6.261953679,1007,1
0.68117902,8.26963546,1002,1
1.617522679,10.12807825,14015,14
0.130537961,3.173376758,1010,1
0.079058773,5.061723378,17003,17
1.069086299,12.98602078,1011,1
1.038458937,16.15260061,18001,18
0.742582459,10.39962914,1004,1
0.16539429,3.119297411,14016,14
0.075226295,2.001561112,1006,1
1.752070636,26.16931465,19001,19
0.978176906,8.757012631,15001,15
1.470890587,26.28700436,15002,15
0.058236953,1.343875839,14017,14
0.103245953,3.086495196,18003,18
0.03220532,1.436659486,18002,18
0.432947368,15.01382003,19002,19
0.071977095,1.950267731,1009,1
0.570491873,9.87496084,18004,18
0.054208318,2.860390218,1014,1
0.727634068,16.86935962,18005,18
0.156155245,4.015470935,19004,19
0.087088631,3.067103207,1012,1
0.2380092,5.282988255,15003,15
0.316686355,9.00746033,1015,1
0.554736654,10.54741652,19003,19
1.161502294,9.944523225,14018,14
0.170442425,3.970954197,15005,15
0.281189529,3.891856251,15006,15
0.322014544,7.316988037,19006,19
0.052694657,1.961546295,15004,15
0.28640996,4.571170972,15008,15
0.588114653,11.4633532,1018,1
0.052516433,2.013195489,15007,15
0.166261226,4.223734388,1017,1
0.131182182,6.420182221,18007,18
0.480898255,10.01506068,19005,19
0.044763351,1.407222607,18006,18
0.059047578,2.570498581,1013,1
0.883924067,7.10940741,15010,15
0.323815276,5.712302559,15009,15
1.430330034,27.42501372,15011,15
0.046464427,2.079626114,1016,1
0.082994359,2.768412373,18009,18
0.018415053,0.991072969,18008,18
0.220293013,7.282763023,1022,1
0.242993943,6.633777618,19009,19
0.154211626,3.561834969,1019,1
0.282813387,5.063839722,18013,18
0.919162279,25.53218314,1026,1
0.040645097,3.373975738,19007,19
1.680731672,16.79882761,1021,1
0.073259617,2.439748623,18011,18
0.304572718,8.227723655,19008,19
0.041897001,1.953142447,18014,18
0.117972666,3.200545658,18015,18
0.064212134,1.277361969,18010,18
0.100590045,2.094122697,18012,18
0.014500893,1.110543397,15012,15
0.160655594,5.0536519,1020,1
0.008450142,0.843066372,15013,15
0.142980977,3.307476574,18018,18
0.193476314,8.974217014,19010,19
0.627948246,12.3558726,14019,14
2.21346895,31.01135962,19011,19
0.287838353,7.344775409,1025,1
0.036740354,2.493431329,15014,15
0.094198891,4.566762938,1024,1
0.044610564,1.78068834,1023,1
2.425530349,22.48892564,26001,26
0.066725578,2.145054583,18016,18
0.353241978,7.401815067,19012,19
1.474296088,13.34784547,14021,14
0.088671516,3.498613873,14020,14
0.765918166,11.57964888,18017,18
0.432243843,15.97605601,18019,18
0.037388954,1.410701179,14022,14
0.176522668,7.283878414,1031,1
0.172399871,4.619088406,1032,1
0.299289148,5.40555919,1027,1
0.85561791,10.20708054,20001,20
0.22602655,3.466982709,1030,1
0.182891843,6.165035454,1028,1
0.088449984,2.490901702,14023,14
0.044170454,1.586923275,14024,14
0.912535415,18.11325804,1033,1
0.072270856,3.096449104,15015,15
0.105142371,3.651152733,1029,1
0.228592408,6.589734271,20003,20
0.534688005,7.256808545,14025,14
0.534461639,12.47335279,18021,18
0.042543865,1.891132775,18020,18
0.127569634,3.038420205,26002,26
0.81555445,15.65320178,1034,1
0.218005317,5.839574144,26003,26
