Table 3. SLC polygons (2011) to be modelled in the Holos V4 simulations,,,,Polygon centroid coordinates,
SLC polygon #,Ecodistrict #,SLC polygon area (ha),Ecodistrict area (ha),Latitude,Longitude
244007,244,"103,901","4,151,599",58.98355,-123.3002
244061,244,"346,272","4,151,599",58.690875,-116.300065
244070,244,"73,011","4,151,599",57.852879,-118.364436
375001,375,"72,557","552,382",50.628144,-96.609673
375002,375,"175,263","552,382",50.096974,-96.26547
375003,375,"22,566","552,382",50.526386,-96.26612
375004,375,"9,076","552,382",50.502804,-96.492361
375005,375,"12,293","552,382",50.480076,-96.202369
375006,375,"41,909","552,382",50.277836,-96.393274
375007,375,"22,255","552,382",50.192882,-96.231345
375008,375,"4,287","552,382",50.362612,-96.208015
375009,375,"6,908","552,382",50.141815,-95.969605
375010,375,"10,829","552,382",50.133499,-96.319491
375011,375,"122,866","552,382",49.513476,-96.206457
375012,375,"6,077","552,382",49.600361,-96.328812
375013,375,"22,705","552,382",49.138723,-96.326769
375014,375,"22,793","552,382",49.069111,-96.193098
376001,376,"56,950","252,605",50.309896,-95.632774
376002,376,"33,109","252,605",50.121885,-95.650097
376004,376,"7,266","252,605",49.992572,-95.833362
377001,377,"314,261","2,444,842",49.813007,-95.113684
378003,378,"80,255","686,416",49.853209,-93.038293
379001,379,"342,193","402,702",49.440575,-95.576705
379002,379,"15,491","402,702",49.605755,-95.74378
379003,379,"25,443","402,702",49.346143,-96.011824
380001,380,"110,644","201,506",49.079453,-95.838282
380002,380,"10,080","201,506",49.203041,-95.852147
380003,380,"21,330","201,506",49.200257,-96.113186
380004,380,"43,331","201,506",49.225655,-95.323193
380005,380,"11,733","201,506",49.058973,-95.985172
380006,380,"4,387","201,506",49.05629,-95.929899
381002,381,"298,665","348,396",48.785012,-94.090461
383003,383,"158,075","746,198",48.186582,-89.779459
383005,383,"309,428","746,198",48.395665,-89.986179
401021,401,"168,218","7,416,468",49.221861,-79.670557
401023,401,"247,552","7,416,468",49.05158,-79.050053
401026,401,"267,612","7,416,468",49.211198,-81.162859
401029,401,"27,164","7,416,468",49.097013,-79.378478
401035,401,"36,734","7,416,468",49.08165,-79.210859
401046,401,"23,301","7,416,468",48.724019,-77.629205
401047,401,"84,218","7,416,468",48.66263,-78.032203
401050,401,"5,356","7,416,468",48.932546,-79.324803
401051,401,"21,623","7,416,468",48.592134,-77.556418
401055,401,"9,624","7,416,468",48.893643,-79.035819
401059,401,"6,645","7,416,468",48.791412,-78.482782
401063,401,"8,526","7,416,468",48.766024,-78.266794
401064,401,"15,168","7,416,468",48.709742,-79.135696
401066,401,"131,372","7,416,468",48.782307,-81.633866
401067,401,"6,985","7,416,468",48.817255,-79.428064
401069,401,"5,431","7,416,468",48.653866,-78.169722
401070,401,"4,537","7,416,468",48.795026,-79.259987
401071,401,"14,485","7,416,468",48.666599,-78.758205
401073,401,"8,204","7,416,468",48.449226,-77.290516
401075,401,"31,804","7,416,468",48.346146,-78.273705
401076,401,"18,307","7,416,468",48.554019,-78.382441
401077,401,"18,044","7,416,468",48.400985,-77.345562
401078,401,"11,003","7,416,468",48.509629,-77.720543
401081,401,"4,669","7,416,468",48.574178,-78.206371
401083,401,"19,401","7,416,468",48.683294,-79.338642
401086,401,"3,127","7,416,468",48.684439,-79.466591
401087,401,"27,817","7,416,468",48.37348,-78.087155
401092,401,"2,314","7,416,468",48.586899,-78.888618
401095,401,"7,523","7,416,468",48.633397,-79.465832
401096,401,"4,346","7,416,468",48.546062,-79.234083
401097,401,"3,387","7,416,468",48.585901,-79.112019
401098,401,"9,416","7,416,468",48.605609,-79.39554
401100,401,"11,018","7,416,468",48.426316,-78.378782
401102,401,"7,452","7,416,468",48.540952,-79.320314
401106,401,"3,549","7,416,468",48.274148,-78.058245
401110,401,"17,882","7,416,468",48.394381,-78.767852
401121,401,"3,218","7,416,468",48.245618,-78.209978
401125,401,"3,594","7,416,468",48.263027,-79.129942
401130,401,"6,067","7,416,468",48.177133,-78.99167
401137,401,"2,634","7,416,468",48.11013,-78.937305
401140,401,"2,013","7,416,468",48.106806,-79.10917
401141,401,"1,855","7,416,468",48.104944,-79.175995
407005,407,"34,957","2,119,838",47.952739,-79.815149
407007,407,"56,396","2,119,838",47.987022,-80.184777
408002,408,"30,210","773,426",47.857213,-79.229065
408006,408,"25,972","773,426",47.715953,-79.45998
408007,408,"86,418","773,426",47.589437,-78.739101
408010,408,"9,274","773,426",47.683745,-79.325911
408011,408,"15,380","773,426",47.657819,-79.215183
408012,408,"18,217","773,426",47.538243,-79.28628
408014,408,"42,269","773,426",47.47705,-79.356593
408016,408,"44,844","773,426",47.187447,-79.273122
408017,408,"9,264","773,426",47.406712,-79.066779
408018,408,"14,585","773,426",47.384866,-79.494495
408019,408,"3,805","773,426",47.304796,-79.225547
408020,408,"26,956","773,426",47.17635,-79.372017
408021,408,"4,270","773,426",47.263827,-79.385582
409008,409,"195,401","3,247,762",46.521524,-83.774425
410002,410,"35,526","1,384,052",46.547203,-84.307035
411003,411,"38,248","2,671,705",46.598464,-81.14648
411005,411,"600,208","2,671,705",46.223451,-82.479165
411006,411,"57,721","2,671,705",46.340319,-79.967125
411007,411,"119,014","2,671,705",46.349474,-83.167752
411008,411,"35,884","2,671,705",46.250277,-81.870783
411011,411,"510,837","2,671,705",46.47828,-80.237796
411012,411,"1,005,341","2,671,705",46.021164,-80.438278
411013,411,"54,245","2,671,705",46.180628,-79.109314
412001,412,"148,398","148,398",46.261728,-83.518082
413002,413,"16,489","5,014,719",45.312103,-76.506468
413004,413,"6,724","5,014,719",45.324851,-76.545232
413005,413,"14,847","5,014,719",45.289669,-80.146004
413006,413,"71,859","5,014,719",44.767527,-78.487554
413008,413,"16,203","5,014,719",44.541932,-77.811576
413009,413,"6,057","5,014,719",44.588015,-78.369055
413010,413,"3,738,138","5,014,719",45.401332,-78.752905
413011,413,"34,445","5,014,719",46.05991,-77.47976
413012,413,"23,231","5,014,719",45.543528,-77.035504
413013,413,"95,663","5,014,719",45.416426,-79.451338
413014,413,"12,421","5,014,719",45.532725,-77.174719
413015,413,"25,927","5,014,719",45.574391,-77.471601
413016,413,"240,601","5,014,719",45.159357,-76.80833
413017,413,"17,013","5,014,719",45.405115,-76.634554
413018,413,"85,974","5,014,719",45.072822,-76.655203
413019,413,"10,801","5,014,719",45.287106,-77.446107
413020,413,"95,868","5,014,719",45.123271,-76.343264
413021,413,"81,053","5,014,719",45.183062,-77.801964
413022,413,"196,966","5,014,719",44.582426,-76.597232
413023,413,"7,238","5,014,719",45.317966,-79.756867
413024,413,"36,168","5,014,719",44.701394,-76.961118
413025,413,"55,724","5,014,719",44.701335,-78.01034
413026,413,"64,231","5,014,719",44.738588,-78.222978
415005,415,"13,665","1,447,517",48.253323,-72.189237
418006,418,"23,622","2,078,690",47.649198,-70.018904
418007,418,"4,870","2,078,690",47.709147,-70.41835
418008,418,"4,947","2,078,690",47.67194,-70.192348
418009,418,"18,837","2,078,690",47.665975,-70.34831
418010,418,"19,915","2,078,690",47.52966,-70.172735
418011,418,"19,407","2,078,690",47.535235,-70.282557
418012,418,"19,296","2,078,690",47.571084,-70.597509
418013,418,"11,529","2,078,690",47.401245,-70.314425
418014,418,"2,904","2,078,690",47.36185,-70.421857
418020,418,"19,460","2,078,690",47.459918,-70.369409
418021,418,"19,880","2,078,690",47.321707,-70.522488
418023,418,"4,976","2,078,690",47.435373,-70.580806
418027,418,"13,672","2,078,690",47.157245,-70.762752
418028,418,"165,339","2,078,690",46.935404,-71.262901
418030,418,"56,898","2,078,690",46.856485,-71.782318
419002,419,"69,412","909,183",47.643842,-72.817174
421001,421,"82,000","384,662",48.258321,-69.403506
421007,421,"35,030","384,662",48.18609,-70.700202
423021,423,"13,108","2,415,230",45.855458,-76.7088
423022,423,"15,926","2,415,230",45.871255,-77.074523
423023,423,"7,584","2,415,230",45.829988,-76.96824
423028,423,"12,784","2,415,230",45.941772,-77.134548
424002,424,"4,721","946,533",46.751666,-72.274604
424003,424,"11,324","946,533",46.600295,-72.742764
424005,424,"3,790","946,533",46.445363,-73.14905
424006,424,"2,420","946,533",46.42876,-73.024659
424007,424,"15,269","946,533",46.342181,-73.361858
425001,425,"19,375","1,656,021",46.491098,-74.874934
425002,425,"24,972","1,656,021",46.369357,-76.0032
425003,425,"12,447","1,656,021",46.077198,-74.659388
425006,425,"5,043","1,656,021",46.081786,-74.57706
425007,425,"12,327","1,656,021",46.213842,-75.939617
425008,425,"7,487","1,656,021",46.095882,-76.120504
425009,425,"13,059","1,656,021",46.065374,-76.018826
425011,425,"6,218","1,656,021",45.808315,-74.957974
425012,425,"9,521","1,656,021",45.864776,-75.098338
425013,425,"27,939","1,656,021",45.968347,-76.111475
425014,425,"18,204","1,656,021",45.769438,-75.06013
425016,425,"6,783","1,656,021",45.898818,-75.997596
425019,425,"8,415","1,656,021",45.692907,-75.036194
425020,425,"12,936","1,656,021",45.810162,-75.939002
425022,425,"8,510","1,656,021",45.655587,-75.386794
425023,425,"48,601","1,656,021",45.531405,-75.656065
425024,425,"53,453","1,656,021",45.700075,-76.169471
425025,425,"24,923","1,656,021",45.584249,-75.584703
425027,425,"14,120","1,656,021",45.659806,-75.914925
425028,425,"30,572","1,656,021",45.659801,-76.459775
425030,425,"8,946","1,656,021",45.733909,-76.646208
425032,425,"3,713","1,656,021",45.743467,-76.737465
425033,425,"5,075","1,656,021",45.605946,-76.289649
425034,425,"2,544","1,656,021",45.675488,-76.644083
425035,425,"4,644","1,656,021",45.559088,-76.212873
425036,425,"9,502","1,656,021",45.512144,-76.296073
425037,425,"5,388","1,656,021",45.594029,-76.642653
425039,425,"6,102","1,656,021",45.573317,-76.358323
425040,425,"7,211","1,656,021",45.42043,-75.864746
425041,425,"1,821","1,656,021",45.552431,-76.577015
425042,425,"4,928","1,656,021",45.47205,-76.332405
425043,425,"18,938","1,656,021",45.523633,-76.460085
425044,425,"19,612","1,656,021",46.815931,-75.239362
425046,425,"41,306","1,656,021",46.414162,-75.456364
425049,425,"27,981","1,656,021",46.025012,-75.555602
426004,426,"86,438","1,025,870",46.155777,-73.66811
426006,426,"7,425","1,025,870",46.211694,-73.559625
426008,426,"10,435","1,025,870",46.030242,-73.735396
426013,426,"7,651","1,025,870",45.967638,-74.640942
426015,426,"10,744","1,025,870",45.848887,-74.582122
434009,434,"1,118,979","4,185,897",49.696135,-66.63093
438002,438,"44,383","2,247,154",49.004502,-68.156292
438003,438,"4,170","2,247,154",49.139357,-68.286023
438005,438,"19,711","2,247,154",48.773704,-69.023133
438006,438,"14,915","2,247,154",48.685657,-69.025719
438015,438,"85,598","2,247,154",48.976254,-68.742786
438017,438,"58,513","2,247,154",48.952609,-68.361002
438020,438,"109,067","2,247,154",48.778908,-68.703503
440006,440,"63,682","1,234,057",48.374286,-69.592591
440007,440,"8,698","1,234,057",48.41977,-69.273083
440009,440,"9,633","1,234,057",48.362215,-69.386513
441001,441,"66,633","876,265",48.749178,-71.636487
441003,441,"116,724","876,265",48.703697,-72.12164
441004,441,"73,986","876,265",48.470955,-71.239416
441006,441,"4,137","876,265",48.955058,-72.069182
441007,441,"32,330","876,265",48.898996,-72.496669
441008,441,"4,273","876,265",48.961047,-72.247878
441009,441,"8,827","876,265",48.806173,-71.984345
441010,441,"3,010","876,265",48.971042,-72.464776
441012,441,"31,248","876,265",48.58805,-71.252786
441014,441,"11,224","876,265",48.734294,-72.448127
441016,441,"3,568","876,265",48.73579,-71.734362
441017,441,"5,967","876,265",48.891769,-72.657479
441018,441,"7,289","876,265",48.811164,-72.127698
441019,441,"19,194","876,265",48.667603,-71.81517
441020,441,"4,213","876,265",48.565653,-71.115255
441021,441,"3,167","876,265",48.641272,-71.553068
441022,441,"11,147","876,265",48.630345,-71.622345
441023,441,"5,632","876,265",48.839987,-72.632426
441024,441,"6,294","876,265",48.51688,-71.056243
441026,441,"13,177","876,265",48.736181,-72.504129
441027,441,"14,631","876,265",48.741312,-72.614927
441028,441,"7,038","876,265",48.718466,-72.382014
441029,441,"51,447","876,265",48.383694,-71.044017
441030,441,"6,443","876,265",48.584351,-71.715459
441031,441,"2,804","876,265",48.521985,-71.417053
441033,441,"67,558","876,265",48.506287,-71.941319
441034,441,"46,710","876,265",48.401162,-71.411127
441036,441,"2,289","876,265",48.358153,-70.953135
441037,441,"49,250","876,265",48.526801,-72.194405
441038,441,"2,300","876,265",48.427656,-71.673168
441039,441,"6,815","876,265",48.542113,-72.314852
441040,441,"3,925","876,265",48.444313,-71.79679
441042,441,"16,529","876,265",48.346892,-71.581635
455009,455,"189,980","657,046",50.58982,-57.335804
455014,455,"36,317","657,046",49.749461,-58.074754
455015,455,"11,114","657,046",49.672273,-57.979892
458002,458,"18,781","614,873",49.214754,-57.511447
458003,458,"69,641","614,873",49.067722,-57.441839
458006,458,"15,781","614,873",48.856163,-57.725345
458007,458,"34,107","614,873",49.069363,-58.059311
458013,458,"274,213","614,873",48.880909,-57.936055
458018,458,"6,831","614,873",48.619146,-58.637847
459001,459,"179,968","458,268",49.434615,-58.173847
460001,460,"24,679","160,623",48.493956,-58.868754
460002,460,"20,957","160,623",48.645966,-59.234749
460003,460,"97,572","160,623",48.765151,-58.984007
460004,460,"17,414","160,623",48.6215,-58.832023
461008,461,"13,983","229,494",48.27145,-58.606192
461012,461,"39,676","229,494",48.537721,-58.609386
461014,461,"61,561","229,494",48.264619,-58.892967
461016,461,"5,382","229,494",48.176881,-58.729176
462001,462,"210,845","210,845",48.36029,-59.317412
463001,463,"4,257","279,346",48.107133,-58.805297
463006,463,"24,502","279,346",47.960236,-59.121506
463010,463,"82,907","279,346",47.844224,-59.510774
463011,463,"11,446","279,346",47.837672,-58.980833
463013,463,"11,269","279,346",47.851962,-59.156186
463015,463,"31,927","279,346",48.000721,-59.45245
464024,464,"6,793","654,999",47.667553,-59.262264
465001,465,"237,800","321,483",48.93339,-56.991877
466001,466,"67,952","2,066,745",49.144087,-54.291614
466003,466,"74,765","2,066,745",48.970054,-53.930242
466005,466,"69,873","2,066,745",49.300082,-54.671279
466007,466,"53,342","2,066,745",49.975065,-56.411434
466008,466,"4,264","2,066,745",49.371879,-54.88508
466009,466,"57,735","2,066,745",49.791671,-56.429094
466010,466,"81,962","2,066,745",49.819353,-56.117221
466011,466,"68,814","2,066,745",49.088019,-54.748997
466012,466,"22,379","2,066,745",49.005451,-54.508481
466013,466,"30,586","2,066,745",49.138883,-55.01185
466014,466,"8,103","2,066,745",48.819045,-54.115069
466016,466,"2,402","2,066,745",48.849892,-54.142105
466019,466,"69,654","2,066,745",49.240711,-55.355945
466021,466,"2,192","2,066,745",48.821178,-54.270642
466022,466,"12,388","2,066,745",49.555181,-56.151672
466023,466,"48,858","2,066,745",48.81696,-54.540009
466024,466,"4,943","2,066,745",48.903939,-54.573407
466026,466,"90,427","2,066,745",48.934005,-55.340367
466030,466,"170,619","2,066,745",49.113568,-56.13558
466031,466,"14,871","2,066,745",49.454033,-56.140472
466034,466,"7,964","2,066,745",49.100963,-55.369843
466042,466,"47,630","2,066,745",49.360322,-56.639999
466047,466,"35,623","2,066,745",48.860461,-55.580439
466048,466,"20,465","2,066,745",48.998467,-55.994106
466051,466,"35,675","2,066,745",49.254532,-57.262712
466054,466,"4,149","2,066,745",48.932537,-55.779796
466055,466,"11,845","2,066,745",48.970802,-56.098431
466056,466,"16,180","2,066,745",49.376059,-57.268423
466057,466,"16,828","2,066,745",49.187147,-57.216395
466061,466,"14,148","2,066,745",49.193775,-57.068123
467004,467,"18,248","454,027",48.787116,-56.79902
468001,468,"14,095","494,834",48.670405,-54.081962
468004,468,"30,685","494,834",48.595015,-54.532655
468005,468,"14,881","494,834",48.56735,-53.997719
468009,468,"10,674","494,834",48.554533,-54.106081
468010,468,"34,154","494,834",48.320113,-53.884976
468013,468,"17,566","494,834",48.547265,-54.307
468015,468,"20,745","494,834",48.263978,-54.050123
468017,468,"6,713","494,834",48.346819,-54.126667
468024,468,"14,294","494,834",48.350844,-54.25325
468031,468,"23,045","494,834",48.045896,-54.13265
468032,468,"36,398","494,834",47.968161,-53.956162
470007,470,"60,222","2,802,854",50.193676,-56.159183
470025,470,"27,566","2,802,854",49.534693,-55.255154
470028,470,"117,100","2,802,854",49.39884,-55.524742
470029,470,"35,376","2,802,854",49.498983,-55.793745
470031,470,"45,223","2,802,854",49.619487,-55.948994
470034,470,"30,896","2,802,854",48.671532,-53.788752
470038,470,"42,821","2,802,854",48.499405,-53.662195
470039,470,"15,611","2,802,854",48.377799,-53.77398
471002,471,"187,606","1,209,417",48.237694,-52.689514
471003,471,"98,645","1,209,417",47.961283,-52.797852
471005,471,"96,681","1,209,417",47.724616,-52.905724
471008,471,"100,107","1,209,417",47.990662,-53.320483
471009,471,"21,566","1,209,417",48.247263,-53.714563
471010,471,"23,800","1,209,417",47.845018,-53.245037
471011,471,"47,289","1,209,417",48.071578,-53.506725
471012,471,"58,141","1,209,417",47.666114,-53.235141
471015,471,"25,448","1,209,417",47.725503,-53.42122
471017,471,"1,718","1,209,417",47.620279,-53.001396
471018,471,"13,883","1,209,417",47.510172,-53.037959
471019,471,"29,607","1,209,417",47.4649,-53.194769
471020,471,"8,828","1,209,417",47.402192,-53.074616
471021,471,"56,322","1,209,417",47.567624,-53.551257
472012,472,"30,167","1,405,655",47.906724,-54.219248
473002,473,"28,803","106,192",47.90719,-55.670433
474008,474,"520,461","2,804,602",47.562413,-55.692904
474013,474,"87,719","2,804,602",47.203476,-55.292749
474015,474,"32,597","2,804,602",47.017682,-55.112777
474016,474,"120,732","2,804,602",47.13352,-55.712228
475001,475,"147,013","1,014,415",47.717023,-52.52504
475002,475,"99,886","1,014,415",47.393629,-52.591242
475003,475,"53,338","1,014,415",47.256453,-53.092552
475004,475,"106,841","1,014,415",47.563116,-53.933761
475007,475,"9,069","1,014,415",47.484285,-53.690559
475008,475,"56,997","1,014,415",47.361864,-53.708184
475010,475,"12,269","1,014,415",47.386381,-53.517496
475012,475,"17,838","1,014,415",47.187753,-53.488216
475015,475,"13,752","1,014,415",47.138151,-53.409691
475021,475,"124,179","1,014,415",47.163695,-54.04214
475023,475,"23,530","1,014,415",47.026921,-53.581253
476001,476,"49,296","49,296",47.317578,-53.349567
477003,477,"558,433","1,321,494",46.735299,-54.564493
477004,477,"257,331","1,321,494",46.807617,-55.680843
478001,478,"480,022","2,540,803",49.303083,-65.525864
478013,478,"17,309","2,540,803",48.206892,-64.787881
478015,478,"145,108","2,540,803",48.18972,-66.47626
479001,479,"315,866","1,598,708",48.865334,-67.677256
479002,479,"53,182","1,598,708",48.780665,-67.322592
479003,479,"5,442","1,598,708",48.600594,-68.032516
479004,479,"16,801","1,598,708",48.531532,-68.151388
479005,479,"20,828","1,598,708",48.501864,-67.661177
479006,479,"40,355","1,598,708",48.617751,-68.443225
479007,479,"30,782","1,598,708",48.40875,-67.911701
479008,479,"4,387","1,598,708",48.459985,-68.295848
479009,479,"30,060","1,598,708",48.515538,-68.62236
479010,479,"5,069","1,598,708",48.481626,-68.088478
479012,479,"14,163","1,598,708",48.386339,-68.144954
479013,479,"11,097","1,598,708",48.421072,-68.546268
479014,479,"7,694","1,598,708",48.378862,-68.501544
479015,479,"15,827","1,598,708",48.336361,-68.287711
479017,479,"14,481","1,598,708",48.307691,-68.704676
479018,479,"7,841","1,598,708",48.27689,-68.925384
479020,479,"6,132","1,598,708",48.184318,-68.982269
479021,479,"49,214","1,598,708",48.132528,-69.245231
479022,479,"3,876","1,598,708",48.028465,-68.627871
479024,479,"3,624","1,598,708",48.046145,-68.87811
479025,479,"45,856","1,598,708",47.940771,-69.466514
479026,479,"3,975","1,598,708",47.90294,-68.630162
479027,479,"10,471","1,598,708",47.827936,-68.754718
479028,479,"5,357","1,598,708",47.950095,-69.08918
479029,479,"7,932","1,598,708",48.002887,-69.210807
479031,479,"27,770","1,598,708",47.639237,-69.423963
479032,479,"8,156","1,598,708",47.759406,-68.612125
479033,479,"34,353","1,598,708",47.739073,-69.678318
479034,479,"45,067","1,598,708",47.712373,-69.431078
479035,479,"32,371","1,598,708",47.708423,-69.581744
479036,479,"4,001","1,598,708",47.801536,-69.498148
479037,479,"6,744","1,598,708",47.636817,-69.029939
479038,479,"4,791","1,598,708",47.642293,-68.905237
479039,479,933,"1,598,708",47.443657,-69.101867
479040,479,"594,177","1,598,708",47.904187,-68.496759
481001,481,"141,707","621,950",48.31963,-67.545177
482001,482,"295,037","1,689,082",47.259661,-69.828545
482002,482,"10,101","1,689,082",47.394297,-69.728074
482003,482,"2,132","1,689,082",47.406471,-69.9278
482004,482,"143,340","1,689,082",46.914596,-69.942543
482007,482,"9,738","1,689,082",46.783488,-70.21696
482008,482,"85,972","1,689,082",46.573858,-70.456632
482009,482,"25,146","1,689,082",46.593263,-70.098356
482010,482,"7,527","1,689,082",46.632421,-70.518994
482013,482,"1,815","1,689,082",46.513744,-70.79966
482014,482,"97,435","1,689,082",46.434384,-70.872637
482015,482,"12,739","1,689,082",46.315633,-70.343584
482017,482,"7,084","1,689,082",46.303021,-70.512411
482018,482,"3,231","1,689,082",46.351446,-70.754889
482019,482,"280,280","1,689,082",46.112772,-71.479108
482020,482,"97,285","1,689,082",46.070735,-70.975431
482021,482,"40,655","1,689,082",45.980439,-71.347078
482022,482,"5,149","1,689,082",45.731195,-70.953411
482023,482,"59,575","1,689,082",46.234933,-70.363025
482024,482,"30,174","1,689,082",46.134094,-70.365615
482025,482,"26,060","1,689,082",46.343291,-70.935456
482026,482,"3,019","1,689,082",46.142224,-70.301236
482027,482,"9,681","1,689,082",46.010774,-70.394333
482028,482,"103,066","1,689,082",45.594702,-70.744113
482029,482,"161,595","1,689,082",45.60481,-71.202411
482030,482,"24,365","1,689,082",45.972139,-70.560957
482031,482,"13,414","1,689,082",45.8821,-70.632229
482032,482,"30,544","1,689,082",45.746797,-70.874674
482034,482,"19,298","1,689,082",45.478835,-70.807665
483001,483,"63,896","923,153",45.759873,-71.523836
483002,483,"3,340","923,153",45.888439,-71.120723
483003,483,"12,699","923,153",45.794573,-71.311606
483005,483,"8,274","923,153",45.679238,-71.436253
483006,483,"6,142","923,153",45.839964,-71.792627
483007,483,"4,042","923,153",45.680534,-71.516746
483008,483,"26,536","923,153",45.715713,-72.145291
483009,483,"48,822","923,153",45.623977,-71.865207
483010,483,"16,408","923,153",45.652758,-72.041456
483011,483,"2,839","923,153",45.797424,-72.130465
483012,483,"130,443","923,153",45.117477,-72.70953
483013,483,"10,314","923,153",45.488287,-71.762744
483015,483,"8,322","923,153",45.524237,-72.061352
483016,483,"35,195","923,153",45.417874,-72.166134
483017,483,"3,351","923,153",45.422783,-71.845808
483018,483,"50,301","923,153",45.211082,-72.225953
483019,483,"17,218","923,153",45.198302,-72.071349
483021,483,"2,156","923,153",45.160131,-72.042625
483022,483,"5,855","923,153",45.262827,-72.664774
483023,483,"5,474","923,153",45.026249,-72.416992
483024,483,"9,643","923,153",45.084762,-72.309544
483025,483,"4,168","923,153",45.051733,-72.349761
483026,483,"7,241","923,153",45.049805,-72.532456
483027,483,"2,366","923,153",45.029133,-72.451177
483030,483,"45,883","923,153",45.620512,-71.421065
483031,483,"63,154","923,153",45.296803,-71.868468
483032,483,"70,587","923,153",45.451591,-71.44298
483034,483,"105,371","923,153",45.088117,-71.654338
483035,483,"15,224","923,153",45.383611,-71.719076
483036,483,"56,214","923,153",45.164508,-71.949368
483037,483,"9,233","923,153",45.046752,-71.875483
484001,484,"131,540","487,705",48.139075,-65.900632
484002,484,"101,769","487,705",47.999269,-65.261687
484004,484,"19,093","487,705",47.978554,-66.653327
484005,484,"19,886","487,705",47.913471,-66.537773
484008,484,"2,076","487,705",47.933876,-66.705677
484010,484,"1,714","487,705",47.919609,-66.744562
484011,484,"20,105","487,705",47.890729,-66.904955
484014,484,"19,405","487,705",47.764455,-66.965907
485001,485,"121,764","365,828",47.840211,-65.690914
485002,485,"5,218","365,828",48.064943,-66.41049
485003,485,"5,750","365,828",48.027757,-66.404394
485005,485,"17,987","365,828",47.818138,-65.960809
485006,485,"13,150","365,828",47.935788,-66.316403
485007,485,"20,678","365,828",47.743288,-65.824754
485009,485,"15,232","365,828",47.70971,-66.26707
485012,485,"2,090","365,828",47.711436,-65.920715
485014,485,"14,353","365,828",47.621018,-65.829265
485015,485,"15,912","365,828",47.682385,-66.067166
485016,485,"33,264","365,828",47.498665,-65.787202
485017,485,"11,634","365,828",47.553004,-66.061457
486004,486,"28,732","449,890",47.681152,-67.297038
486009,486,"37,238","449,890",47.44893,-67.588154
486010,486,"11,288","449,890",47.567021,-67.247937
486011,486,"14,131","449,890",47.513546,-67.432231
486013,486,"28,508","449,890",47.439048,-67.331477
486017,486,"17,811","449,890",47.304506,-67.375131
486020,486,"6,699","449,890",47.217323,-67.171268
486021,486,"14,789","449,890",47.141201,-67.167613
486023,486,"31,209","449,890",47.303256,-67.898475
486024,486,"45,828","449,890",47.255824,-67.714864
486025,486,"7,223","449,890",47.116274,-67.463056
486026,486,"7,856","449,890",47.155094,-67.438504
486029,486,"6,919","449,890",47.000721,-67.394259
486030,486,"7,208","449,890",46.956141,-67.540425
487007,487,"79,964","408,857",47.595814,-68.462201
487009,487,"7,596","408,857",47.625292,-68.260759
487010,487,"11,767","408,857",47.389041,-67.960636
487011,487,"23,266","408,857",47.416164,-68.25985
487012,487,"4,907","408,857",47.468175,-68.45849
487013,487,"16,184","408,857",47.52027,-68.695377
487014,487,"18,201","408,857",47.43521,-68.573997
487015,487,"11,904","408,857",47.384933,-68.446973
487016,487,"44,232","408,857",47.406353,-68.931569
487017,487,"20,468","408,857",47.386574,-68.734894
487018,487,"4,744","408,857",47.411975,-68.688897
487019,487,"5,921","408,857",47.300685,-68.443907
487020,487,"8,674","408,857",47.294014,-68.611934
487021,487,"2,058","408,857",47.355377,-68.643063
487022,487,"24,546","408,857",47.267257,-68.865113
487023,487,"3,709","408,857",47.242476,-68.76014
488004,488,"56,858","410,946",47.035209,-65.979638
488011,488,"7,305","410,946",46.542494,-66.493525
488012,488,"3,690","410,946",46.521505,-66.533619
488013,488,"38,387","410,946",46.477081,-66.582603
488014,488,"13,162","410,946",46.428166,-66.80608
488015,488,"23,929","410,946",46.356617,-66.709064
488016,488,"13,749","410,946",46.328059,-66.89961
488017,488,"34,855","410,946",46.221079,-66.961879
489014,489,"50,206","412,786",46.659665,-67.381532
489018,489,"18,578","412,786",46.587146,-67.183211
489019,489,"21,278","412,786",46.538288,-67.445077
489020,489,"35,575","412,786",46.266272,-67.152288
489025,489,"15,384","412,786",46.387073,-67.332209
490001,490,"7,354","94,797",47.062685,-67.352699
490002,490,"3,589","94,797",46.994798,-67.274704
490004,490,"5,383","94,797",46.955652,-67.366309
490006,490,"3,698","94,797",46.926873,-67.482588
490007,490,"17,225","94,797",46.79482,-67.374162
490008,490,"26,708","94,797",46.829606,-67.551606
493001,493,"9,364","234,806",47.311118,-68.122808
493002,493,"18,976","234,806",47.163877,-67.81611
493003,493,"25,258","234,806",46.981788,-67.654838
493004,493,"2,546","234,806",47.058504,-67.762704
493005,493,"15,577","234,806",46.927389,-67.747311
493006,493,"13,159","234,806",46.690881,-67.7582
493007,493,"8,322","234,806",46.631728,-67.63296
493008,493,"2,993","234,806",46.755156,-67.734142
493009,493,"2,397","234,806",46.642941,-67.686302
493010,493,"98,702","234,806",46.284569,-67.46034
493013,493,"26,224","234,806",46.128464,-67.385897
493014,493,"3,545","234,806",46.043899,-67.223888
493015,493,"2,748","234,806",46.022087,-67.279401
494001,494,"50,575","150,878",46.301811,-67.647125
494002,494,"5,637","150,878",46.361517,-67.632971
494003,494,"2,225","150,878",46.313951,-67.704757
494004,494,"11,476","150,878",46.209774,-67.643223
