1,dead,,
2,dead,,
3,dead,,
4,37.69911184,28.27433388,
5,dead,,
6,dead,,
7,40.8407045,50.26548246,
8,59.69026042,,
9,dead,,
10,45.55309348,,
11,43.98229715,,
12,49.63716393,34.87167845,
13,65.97344573,,
14,dead,,
15,34.24335992,,
16,73.19910883,,
17,60.00441968,,
18,46.18141201,50.26548246,
19,64.71680866,,
20,51.52211952,62.20353454,
21,33.61504139,,
22,53.40707511,41.15486376,
23,45.86725274,,
24,32.35840433,52.77875658,38.01327111
25,dead,,
26,44.29645642,43.98229715,
27,64.4026494,,
28,45.86725274,43.35397862,
29,65.03096793,45.55309348,
30,dead,,
31,dead,53.72123438,
32,dead,,
33,36.75663405,53.72123438,
34,52.46459731,,
35,dead,,
36,42.72566009,32.98672286,
37,dead,,
38,dead,,
39,36.12831552,45.55309348,
40,54.66371217,50.26548246,
41,dead,,
42,38.9557489,51.20796025,
43,52.77875658,49.0088454,
44,dead,,
46,dead,,
47,dead,,
48,47.1238898,,
49,dead,,
50,dead,,
51,34.24335992,48.0663676,
52,51.52211952,,
53,46.18141201,,
54,64.08849013,54.03539364,
55,34.87167845,35.18583772,
56,34.55751919,,
57,50.89380099,43.35397862,
